Nome_Fundo,Tipo,Valor
17007 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,81644753.69
17007 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,42271.14
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,357930407.89
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,161.02
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,146835358.06
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,277.61
AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOB,CRI,233740671.94
AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOB,Outras Cotas de FI,64625034.89
AGRI8 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,152825.94
AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO FII,Outras Cotas de FI,1102997.78
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,36828547.55
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,10568356.82
ALIANZA FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,101703045.64
ALIANZA FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,22481656.63
ALIANZA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Cotas de Sociedades,619999992.0
ALIANZA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,33106632.76
ALIANZA TRUST RENDA IMOBILIARIA FII,Outras Cotas de FI,312538767.0
ALIANZA TRUST RENDA IMOBILIÁRIA FII,Ações de Sociedades,91867807.37
ALIANZA TRUST RENDA IMOBILIÁRIA FII,Outras Cotas de FI,86103765.22
ALMIRANTE BARROSO FII,Outras Cotas de FI,22681689.28
ANKARA DISTRESSED FII,Outras Cotas de FI,90112.5
APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações,25000000.0
APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,75000000.0
AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,6687218.8
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,155721759.84
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,416731090.0
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,40405600.0
