CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
01.235.622/0001-61,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.0,159913852.43,inf
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,15124255.15,inf
04.066.582/0001-60,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,133523.88,2670477.66,2000.0
04.141.645/0001-03,FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0,10712467.94,inf
04.722.883/0001-02,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,104327.42,16670289.22,15978.82
05.562.312/0001-02,FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO ALMIRANTE B,538897.41,21990363.33,4080.62
06.175.262/0001-73,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,115804.85,2516827.71,2173.34
07.000.400/0001-46,BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,0.0,16092744.97,inf
07.122.725/0001-00,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,762466.53,15249330.67,2000.0
07.224.019/0001-60,FUNDO DE INVESTIMENTO IMOBILIARIO - FII SHOPPING PARQUE D. P,831079.74,56024830.0,6741.21
08.014.513/0001-63,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL NOSSA SENHO,532685.24,10653704.84,2000.0
08.098.114/0001-28,FUNDO DE INVESTIMENTO IMOBILIARIO - FII COMERCIAL PROGRESSIV,432058.16,8641163.24,2000.0
08.431.747/0001-06,CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,6055307.0,44504337.6,734.96
08.696.175/0001-97,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,62050.23,7141335.61,11508.96
08.706.065/0001-69,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,188115.04,3762300.85,2000.0
08.924.783/0001-01,FUNDO DE INVESTIMENTO IMOB BTG PACTUAL CORPORATE OFFICE FUND,4588688.97,91773779.31,2000.0
09.006.914/0001-34,FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,9777780.08,inf
09.072.017/0001-29,CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,165418.74,45184572.0,27315.27
09.326.861/0001-39,FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,117276.75,1200000.0,1023.22
10.347.505/0001-80,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,0.0,8608012.52,inf
10.347.985/0001-80,FII BB VOTORANTIM JHSF CIDADE JARDIM CONTINENTAL TOWER,0.0,4437933.03,inf
10.348.185/0001-83,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES II,0.0,46848875.05,inf
10.375.382/0001-91,FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIARIO - FII,30.0,1471372.41,4904574.69
10.427.246/0001-06,FUNDO DE INVESTIMENTO IMOBILIARIO FII PRIME PORTFOLIO,2411597.64,48231952.82,2000.0
10.993.386/0001-33,FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO CASTELO,579146.53,11582930.61,2000.0
11.026.627/0001-38,FII BTG PACTUAL FUNDO DE FUNDOS,443034.33,13743817.7,3102.2
11.044.355/0001-07,STARX FUNDO DE INVESTIMENTO IMOBILIARIO - FII,80992.2,4090000.0,5049.87
11.160.521/0001-22,CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,1353669.09,5968413.0,440.91
11.179.118/0001-45,FUNDO DE INVESTIMENTO IMOBILIARIO - FII ANHANGUERA EDUCACION,296686.01,6022344.48,2029.87
11.233.841/0001-65,REAL MINAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,405059.16,8101183.11,2000.0
11.260.134/0001-68,CSHG JHSF PRIME OFFICES FUNDO DE INV IMOBILIÁRIO - FII,756036.14,7524000.0,995.19
11.268.335/0001-01,JPP FII,0.0,1348024.08,inf
11.274.415/0001-70,FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,0.46,4670024.24,1015222661.85
11.281.322/0001-72,FII PRESIDENTE VARGAS,0.0,3726075.88,inf
11.326.746/0001-06,TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,17269551.01,inf
11.664.201/0001-00,FATOR VERITA FII,712384.91,14247698.27,2000.0
11.701.400/0001-40,TAURUS PATRIMONIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,12202.3,244045.91,2000.0
11.728.688/0001-47,CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1456264.99,17753220.0,1219.09
11.839.593/0001-09,TRX REALTY LOGÍSTICA RENDA I FII,252300.97,5046019.39,2000.0
11.945.604/0001-27,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FII - FII,0.0,820729.29,inf
12.005.956/0001-65,KINEA RENDA IMOBILIARIA FII,13538561.82,76159440.0,562.54
12.323.987/0001-64,BRPR 68 FUNDO DE INVESTIMENTO IMOBILIARIO - FII DESENVOLVIME,0.0,254206.41,inf
12.358.507/0001-09,EXITUS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,4913853.5,inf
12.516.185/0001-70,FUNDO DE INVESTIMENTO IMOBILIARIO RM LEBLON CORPORATE,0.0,858746.06,inf
12.659.641/0001-31,RIO BRAVO CREDITO IMOBILIARIO I FII,808860.35,1526625.0,188.74
12.834.763/0001-17,WM RB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,624229.39,inf
12.887.506/0001-43,FI IMOBILIÁRIO CAIXA TRX LOGÍSTICA RENDA,0.0,1324781.33,inf
13.125.823/0001-95,PSG FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,929137.24,inf
13.371.132/0001-71,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,1065922.54,35168544.8,3299.35
13.551.286/0001-45,FUNDO DE INVESTIMENTO IMOBILIARIO CENESP,3.8,7097522.95,186776919.75
13.555.918/0001-49,AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2570812.41,6280190.1,244.29
13.652.006/0001-95,RB CAPITAL GENERAL SHOPPING SULACAP FII,54142.33,1082846.65,2000.0
13.811.400/0001-29,XP RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,292368.89,6011565.56,2056.16
13.873.457/0001-52,AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,5107989.81,inf
13.966.653/0001-71,FUNDO DE INVESTIMENTO IMOB - FII CYRELA THERA CORPORATE,44063.13,881262.63,2000.0
13.974.819/0001-00,PEDRA DOURADA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,8665509.27,inf
14.056.001/0001-62,PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,203673.39,6653323.55,3266.66
14.069.202/0001-02,AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,672700.55,inf
14.074.706/0001-02,BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,9273858.35,9273858.35,100.0
14.080.689/0001-16,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,333020.65,6660412.98,2000.0
14.088.246/0001-71,FUNDO DE INVESTIMENTO IMOBILIÁRIO RAILWAY MALL I - FII,0.0,2212771.77,inf
14.376.247/0001-11,FUNDO DE INVESTIMENTO IMOBILIARIO BM BRASCAN LAJES CORPORATI,165160.82,3822744.99,2314.56
14.413.342/0001-48,FUNDO DE INVESTIMENTO IMOBILIÁRIO RENDA CORPORATIVA ANGICO,0.0,4784309.05,inf
14.422.044/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES III,0.0,6460611.76,inf
14.423.780/0001-97,KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,30716.56,925000.0,3011.4
14.609.653/0001-87,FUNDO DE INVESTIMENTO IMOBILIÁRIO JHSF CATARINA CORPORATE,0.0,666.2,inf
14.631.148/0001-39,ATICO RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,32124.14,2294375.41,7142.22
14.665.312/0001-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE - FII,24352.21,645000.0,2648.63
14.721.889/0001-00,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA,0.0,3349908.74,inf
14.786.587/0001-10,VOTORANTIM CARDIO PULMONAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,2600739.86,inf
14.788.458/0001-61,FUNDO DE INVESTIMENTO IMOBILIARIO AMETISTA - FII,2401.63,48032.6,2000.0
15.296.696/0001-12,VILA OLIMPIA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,263610.23,5272204.69,2000.0
15.333.306/0001-37,FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA,80760.32,8469111.63,10486.72
15.348.117/0001-38,SUCCESS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,4531400.28,inf
15.394.563/0001-89,BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,0.0,4748277.37,inf
15.447.110/0001-73,ALGARVES FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,0.0,inf
15.489.509/0001-17,JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,21966461.44,inf
15.570.431/0001-60,BANRISUL NOVAS FRONTEIRAS FII,148116.22,2962324.41,2000.0
15.769.670/0001-44,RIO BRAVO CREDITO IMOBILIARIO II FI IMOBILIARIO,845366.42,2125779.05,251.46
16.543.270/0001-89,SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,19870769.15,21578644.04,108.59
16.671.412/0001-93,SDI LOGÍSTICA RIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,5037075.26,inf
16.706.958/0001-32,KINEA RENDIMENTOS IMOBILIÁRIOS FII,15098362.94,136475415.35,903.91
16.841.067/0001-99,REIT RIVIERA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,2500140.22,inf
16.875.388/0001-04,CSHG TOP FOFII 2 FUNDO DE INVESTIMENTO IMOBILIARIO - FII,30351.6,4102417.2,13516.31
16.915.868/0001-51,JHSF RIO BRAVO FAZENDA BOA VISTA CAPITAL PROTEGIDO FII,887679.75,3677309.31,414.26
16.915.968/0001-88,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII,615837.88,2536432.2,411.87
17.007.528/0001-95,FUNDO DE INVESTIMENTO IMOBILIÁRIO GENERAL SEVERIANO,0.0,0.0,inf
17.035.124/0001-05,FUNDO DE INVESTIMENTO IMOBILIÁRIO HUMAITÁ - FII,23404.49,468089.88,2000.0
17.098.794/0001-70,CAIXA RIO BRAVO FUNDO DE FII,359014.97,7180299.41,2000.0
17.143.998/0001-86,CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,22757.71,4530296.6,19906.65
17.144.039/0001-85,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,192503.74,4160100.0,2161.05
17.156.502/0001-09,POLO FII RECEBÍVEIS IMOBILIÁRIOS II,330000.0,6600000.0,2000.0
17.161.979/0001-82,FUNDO DE INV. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,0.0,4211862.81,inf
17.216.625/0001-98,JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,100166.58,2063416.37,2059.98
17.365.105/0001-47,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TB OFFICE,84787.9,14112172.05,16644.09
17.554.274/0001-25,VINCI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,4702878.64,inf
17.568.605/0001-86,MAIS SHOPPING FII,0.0,0.0,inf
17.590.518/0001-25,GENERAL SHOPPING ATIVO E RENDA - FII,0.0,3478047.18,inf
17.655.102/0001-48,PESCARA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,2013771.66,inf
17.655.115/0001-17,SAFIRA FII,0.0,1657665.75,inf
18.085.673/0001-57,FII NCH BRASIL RECEBIVEIS IMOBILIARIOS,58924.7,1178493.93,2000.0
18.289.950/0001-43,BIRD FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,256626.11,inf
18.311.024/0001-27,SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO,3183.56,515051.73,16178.48
18.330.535/0001-96,RB CAPITAL PETROS FII,66061.85,6904862.16,10452.12
18.497.672/0001-10,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II - FII,17453.17,480000.0,2750.22
18.570.740/0001-29,QUORUM HASTA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,106208.29,inf
18.579.302/0001-21,TAG ALIANZA BTS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,2564430.55,inf
18.874.965/0001-79,CIDADE FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,12519780.03,inf
18.929.353/0001-36,BRL EDIFÍCIOS COMERCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,628339.38,inf
18.979.895/0001-13,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,1225040.69,4289600.75,350.16
19.107.604/0001-60,OURO PRETO DESENVOLVIMENTO IMOBILIARIO I - FII,0.0,435740.39,inf
19.131.224/0001-60,SAPUCAÍ RIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,283507.94,5670158.81,2000.0
19.267.845/0001-76,VGS - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,5914783.29,inf
19.442.626/0001-86,CTBH FII,25395.44,3749400.0,14764.07
19.805.989/0001-39,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LCI BANKS,0.0,24039694.67,inf
20.003.001/0001-05,MIKEONE FUNDO DE INVESTIMENTO IMOBILIARIO,244616.8,4892335.93,2000.0
20.118.492/0001-21,CEDRO II FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,627.52,inf
20.216.935/0001-17,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.0,4995692.77,inf
20.265.434/0001-20,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES IV,0.0,82128678.27,inf
20.716.161/0001-93,BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,888494.66,5951250.0,669.81
20.748.515/0001-81,ANTARES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,199063.29,3981265.85,2000.0
20.834.884/0001-97,CSHG TOP FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,17654.12,4269660.61,24185.07
21.500.514/0001-86,PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,5005800.0,inf
21.917.235/0001-12,IPS PB FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,4582610.32,inf
22.103.617/0001-75,TC ALMAVI FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,1334025.71,inf
22.307.030/0001-88,FUNDO DE INVESTIMENTO IMOBILIÁRIO HANNOVER,0.0,1461956.87,inf
22.957.521/0001-74,MULTI PROPERTIES FII,0.0,0.0,inf
23.177.717/0001-09,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM MASTER,0.0,17328047.99,inf
23.179.381/0001-13,NIHAL - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,65828.66,1316573.12,2000.0
23.740.575/0001-46,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM QUATRO BARRAS,0.0,3339112.41,inf
23.768.027/0001-24,TOP CENTER FII,0.0,-0.0,-inf
23.768.932/0001-84,JK TOWN FII,0.0,-0.0,-inf
23.876.086/0001-16,JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB,0.0,35322.44,inf
24.960.430/0001-13,KINEA INDICES DE PREÇOS FII,4351605.63,11520000.0,264.73
97.521.225/0001-25,MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,335771.23,11153569.25,3321.78
