CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",973.0,26.0,Construção própia,,,,,,,,,,0.07,,,,,,,,,2017-12-29,2.0,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2017-12-29,810.15,15.0,Construção própia,0.07,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",3926.0,49.0,Construção própia,,,,,,,,,,0.22,,,,,,,,,2017-12-29,2.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2017-12-29,347.71,5.0,Aquisição de unidades prontas,0.03,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Estoque Diversos,"Av. Carlos Moreira Lima, nº 460, Vitória-ES, Rua Ludwick Macal, nº 1190, Jardim da Penha, Vitória-ES e Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES",363.0,5.0,-,,,,,,,,,,0.04,,,,,,,,,2017-12-29,2.0,"Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES",2017-12-29,150.0,1.0,Aquisição de unidades prontas,0.01,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",37.0,33.0,Construção própia,,,,,,,,,,0.09,,,,,,,,,2017-12-29,2.0,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",2017-12-29,550.05,15.0,Construção própia,0.07,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2349.0,21.0,Aquisição de unidades prontas,,,,,,,,,,0.12,,,,,,,,,2017-12-29,2.0,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2017-12-29,182.68,2.0,Construção própia,0.02,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1059.0,21.0,Construção própia,,,,,,,,,,0.04,,,,,,,,,2017-12-29,2.0,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,379.81,7.0,Construção própia,0.02,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",3404.0,19.0,Construção própia,,,,,,,,,,0.22,,,,,,,,,2017-12-29,2.0,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",2017-12-29,321.28,2.0,Construção própia,0.04,0.0
01.235.622/0001-61,2017-03-31,1,Imóveis para venda acabados,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1722.0,55.0,Construção própia,,,,,,,,,,0.08,,,,,,,,,2017-12-29,2.0,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,1140.05,18.0,Construção própia,0.06,0.0
01.235.622/0001-61,2017-06-30,1,Imóveis para venda acabados,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",2984.4,18.0,Construção própia,,,,,,,,,,0.24,,,,,,,,,2017-12-29,2.0,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",2017-12-29,321.28,2.0,Construção própia,0.04,0.0
01.235.622/0001-61,2017-06-30,1,Imóveis para venda acabados,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1277.97,40.0,Construção própia,,,,,,,,,,0.06,,,,,,,,,2017-12-29,2.0,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,1140.05,18.0,Construção própia,0.06,0.0
01.235.622/0001-61,2017-06-30,1,Imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",425.49,11.0,Construção própia,,,,,,,,,,0.02,,,,,,,,,2017-12-29,2.0,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,379.81,7.0,Construção própia,0.02,0.0
