CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
08.014.513/0001-63,FII HOSPITAL NOSSA SENHORA DE LOURDES,0.0,6019552.04,inf
08.014.513/0001-63,FII HOSPITAL NOSSA SENHORA DE LOURDES,0.0,11759544.67,inf
08.417.532/0001-30,FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,0.0,16819090.04,inf
08.696.175/0001-97,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,4005660.98,inf
08.696.175/0001-97,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,8389034.35,inf
08.696.175/0001-97,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,4005304.22,inf
08.696.175/0001-97,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,7899273.33,inf
08.706.065/0001-69,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,0.0,7722134.98,inf
08.706.065/0001-69,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,0.0,16092847.92,inf
08.706.065/0001-69,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,0.0,10443380.36,inf
08.706.065/0001-69,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,0.0,25804754.41,inf
08.924.783/0001-01,FII BTG PACTUAL CORPORATE OFFICE FUND,0.0,71370136.61,inf
08.924.783/0001-01,FII BTG PACTUAL CORPORATE OFFICE FUND,0.0,76222006.99,inf
08.924.783/0001-01,FII BTG PACTUAL CORPORATE OFFICE FUND,0.0,52198859.48,inf
08.924.783/0001-01,FII BTG PACTUAL CORPORATE OFFICE FUND,0.0,79381843.78,inf
09.072.017/0001-29,CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,27653575.15,inf
09.072.017/0001-29,CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0,63815941.75,inf
09.072.017/0001-29,PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,27653574.79,inf
09.072.017/0001-29,PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,55318186.16,inf
09.150.967/0001-24,FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,0.0,3808850.29,inf
09.150.967/0001-24,FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,0.0,4771420.8,inf
09.150.967/0001-24,FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,0.0,94624.94,inf
09.517.273/0001-82,SEQUÓIA III RENDA IMOBILIÁRIA FII,935149.42,3261931.21,348.81
09.517.273/0001-82,SEQUÓIA III RENDA IMOBILIÁRIA FII,670782.52,6081786.87,906.67
09.552.812/0001-14,FII BTG PACTUAL FUNDO DE CRI,0.0,29665999.35,inf
09.552.812/0001-14,FII BTG PACTUAL FUNDO DE CRI,0.0,55234250.46,inf
09.552.812/0001-14,FII BTG PACTUAL CREDITO IMOBILIARIO,0.0,27230766.26,inf
09.552.812/0001-14,FUNDO DE INVESTIMENTO IMOBILIARIO - BTG PACTUAL CRED IMOB,0.0,54736644.56,inf
10.427.246/0001-06,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PRIME PORTFOLIO,0.0,125561976.24,inf
10.427.246/0001-06,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PRIME PORTFOLIO,0.0,23653177.25,inf
10.427.246/0001-06,FUNDO DE INVESTIMENTO IMOBILIARIO - FII PRIME PORTFOLIO,0.0,14324114.14,inf
10.456.799/0001-89,FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,0.0,7504796.88,inf
10.456.799/0001-89,FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,0.0,13880396.49,inf
10.456.799/0001-89,FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,0.0,5265810.04,inf
10.456.799/0001-89,FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,0.0,-0.0,-inf
10.456.810/0001-00,DRIT11 FII,63884.03,1172090.8,1834.72
10.456.810/0001-00,DRIT11 FII,31063.84,1795674.21,5780.59
10.522.648/0001-81,DOVEL FII,731415.8,1219844.46,166.78
10.869.155/0001-12,FII PARQUE DOM PEDRO SHOPPING CENTER,0.0,13414515.94,inf
10.869.155/0001-12,FII PARQUE DOM PEDRO SHOPPING CENTER,0.0,20385495.9,inf
