Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
- - Berrini - São Paulo/SP,1.0,0.0
- - Centro - Fortaleza/CE,1.0,0.0
- - Centro - Rio de Janeiro/RJ,1.0,0.0
- - Centro - São Bernardo do Campo/SP,1.0,0.0
- - Centro Histórico - Porto Alegre/RS,1.0,0.0
- - Ed. Olivetti Paulista - São Paulo/SP,1.0,0.0
- - Monções - São Paulo/SP,1.0,0.0
- - Praça Pio X - Rio de Janeiro/RJ,1.0,0.0
0,,
0305 - SUL,0.0,0.0
0309 - SUL,0.0,0.0
1,0.0,0.0
10,0.0,0.0
1005 Cristal Tower,,
1009 Cristal Tower,,
105410_44669,,
11,0.0,0.0
11 Viva Verde,,
112 - CAMP,,
113 - SANTOS,,
11496_50275,,
115 - MDC,,
117 - PIR,,
118 - RP,,
12,0.2,0.0
12 OUTUB,0.0,0.0
12 Viva Verde,,
1206 Cristal Tower,,
1207 Cristal Tower,,
1208 Cristal Tower,,
121 Viva Verde,,
124 Viva Verde,,
13,0.0,0.0
13 Viva Verde,,
13067_50275,,
131744_LOTE8,,
13233_87805,,
133 Viva Verde,,
133541_LOTE7,,
134 Viva Verde,,
134837,,
13594_44669,0.0,0.0
136894_44669,,
136934,,
137 - SP,,
138581,,
138676,,
138681,,
14,0.0,0.12
140193,,
141 Viva Verde,,
141621,,
142 Viva Verde,,
143 Viva Verde,,
144 Viva Verde,,
1456648,,
146005,,
146775,,
147342_13905,,
15,0.0,0.0
1532019,,
153275,,
1539456,,
154243,,
155524,,
15555_21050,,
155576,,
1565792,,
156619,,
1567950,,
1586416,,
158897,,
1589178,,
159424,,
16,0.0,0.0
1602227,,
1607014,,
160926,,
161 - BLU,,
162494_50275,,
1650045,,
1652347,,
167571,,
1687560,,
168948_50500,,
17,0.5,0.0
1702 A Thiago de Mello,,
17086_100,,
1738_FAZ. MADRILENA,0.0,0.0
18,0.5,0.0
180 - RJ,,
183565_257,,
18470_151,,
19,0.0,0.0
192_SALVADOR,,
196054,,
196479,,
19803/SC - MUL,0.0,0.0
198449,,
198964,,
199 - CAMP,,
2,0.0,0.0
20,0.0,0.0
20707_84,,
2073247,,
2077779,,
2085026,,
21,0.0,0.0
210309,,
210328,,
2109179,,
210_ARACAJÚ,,
2127122,,
213489-100_5,,
213489-303_5,,
214 - RJ,,
21541_505,,
2176943,,
2178655,,
2188315,,
22,0.0,0.0
22 - SP,,
22 Viva Verde,,
2213457,,
221618,,
222465,,
223231,,
223245,,
223298,,
223349,,
2235568,,
2239794,,
225593,,
2256594,,
2257639,,
225897,,
225899,,
225922,,
225930,,
225953,,
2260_49076,0.0,0.0
226620,,
22783_50275,,
229218_50275,,
23,0.0,0.0
23 Viva Verde,,
230492,,
232684,,
232696,,
23300 -260_,,
23522_25405,,
23562-358_5,,
2366855,,
237811,,
237999,,
237_RJ,,
239408,,
24,1.0,0.0
24 Viva Verde,,
242620,,
244099,,
247 - SP,,
24° Andar do Edifício Castello Branco,0.0,0.0
25,1.0,0.0
25% Imóvel - FABRICA DA FORD MOTORS DO BRASIL,,
250617,,
251437_03072,,
251880,,
255 - PA,,
256 - SJC,,
26,0.0,0.0
260326,,
2605_03004,,
267920,,
269122,,
269123,,
269125,,
27,0.0,0.0
