Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
#BPA 87 81,,
#ITU 929 101,,
#JAU 585 62,,
#JML 880 22,,
#RP 296 907,,
*ACL 548 63,,
*ACO 422 142,,
*AG 55 91,,
*AGU 461 141,,
*AIB 16 413,,
*AIM 2090101,,
*AL 1302 52,,
*ALV 735 41,,
*ANA 1236 51,,
*ANG 1106119,,
*APRA 433913,,
*ARE 394 701,,
*ASS 254 202,,
*ATI 210 404,,
*ATP 5661204,,
*BAR 665 101,,
*BARI 681804,,
*BART 786 91,,
*BCO 11 303,,
*BERC 295 16,,
*BLIS 106 40,,
*BPO 152 504,,
*BV 592 95,,
*CA 785 21,,
*CBAE 141 40,,
*CBE 26 1407,,
*CGU 72 61,,
*CJB 45 122,,
*CLE 1254 10,,
*CLE 1254 61,,
*CMO 1062 71,,
*CPC 256 24,,
*CPRU 161 12,,
*CUB 158 23,,
*DAV 45 52,,
*DCM 123 81,,
*DCM 630 131,,
*DESV 64 31,,
*DJMA 1616 1,,
*DMAR 72 504,,
*DODZ 123 70,,
*DRMDA 608 6,,
*DRSO 48 42,,
*DVG 336 92,,
*DVL 1055 41,,
*EES 373 901,,
*EPI 3100106,,
*FLP 235 503,,
*FPI 718 61,,
*FR 74 21,,
*GDA 390 82,,
*GDAN 48 252,,
*GDIO 33 202,,
*GDVO 315 63,,
*GEP 121 703,,
*GGM 8 1702,,
*GIR 1540 81,,
*GRA 422 172,,
*HL 1459 101,,
*HLAF 90 901,,
*IGA 50 104,,
*INHA 33 201,,
*JBO 192 602,,
*JML 20 1004,,
*JOA 497 81,,
*JOE 60 806,,
*JRP 701 61,,
*JUR 558 92,,
*LDL 156 404,,
*LOQ 244 805,,
*LPM 76 102,,
*LUI 355 34,,
*MAR 181 41,,
*MARA 339 83,,
*MB 333 402,,
*MOB 31 304,,
*NAS 398 101,,
*NLO 23 501,,
*OH 19 302,,
*PAS 191 72,,
*PCC 74 22,,
*PFR 142 172,,
*PFR 87 101,,
*PMA 181 103,,
*PMO 251 102,,
*QUA 746 54,,
*QUIS 138 11,,
*REB 1480 92,,
*RFL 369 92,,
*ROC 215 133,,
*RP 905 23,,
*RPM 757 14A,,
*SAR 173 21,,
*SER 634 12,,
*SVER 70 402,,
*TC 444 208,,
*TCO 266 402,,
*TMJ 21 102,,
*TUPI 168 62,,
*URA 18 52,,
*URI 111 11,,
*VPAT 389204,,
- BR-101 - ZONA INDUSTRIAL,0.0,0.0
-ARI 661 21,0.0,0.0
-BPA 49 92,0.0,0.0
-CAM 1497 71,0.0,0.0
-CAM 541 142,0.0,0.0
-DLE 609 61,0.0,0.0
-FR 1329 101,0.0,0.0
-INH 737 21,0.0,0.0
-JCT 557 12,0.0,0.0
-JML 1055 5,0.0,0.0
02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
0305 - SUL,0.0,0.0
0309 - SUL,0.0,0.0
10456 - FAZENDA IMUNA,0.0,0.0
1099 - FAZENDA LAGOA DO POÇO,0.0,0.0
1100 - FAZENDA LAGOA DO POÇO,0.0,0.0
1135 - FAZENDA ILHA GRANDE,0.0,0.0
12 OUTUB,0.0,0.0
12299 - GLEBA IND. A,0.0,0.0
12300 - GLEBA IND. B,0.0,0.0
12304 - GLEBA IND. C,0.0,0.0
14 Bis,0.0,0.0
14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
1580 - FAZENDA MARFIM,0.0,0.0
169 - FAZENDA JOÃO DURO,0.0,0.0
173073 - JABAQUARA,0.0,0.0
19238 - ALVORADA,0.0,0.0
1LED1003,,
1LED1005,,
1LED104,,
1LED110,,
1LED1101,,
1LED1104,,
1LED1106,,
1LED1109,,
1LED1204,,
1LED1207,,
1LED1211,,
1LED1306,,
1LED1311,,
1LED1312,,
1LED1401,,
1LED1403,,
1LED1406,,
1LED1407,,
1LED1410,,
1LED1412,,
1LED1504,,
1LED1505,,
1LED1507,,
1LED1510,,
1LED1511,,
1LED1605,,
1LED1606,,
1LED1608,,
1LED1611,,
1LED1612,,
1LED201,,
1LED203,,
1LED204,,
1LED210,,
1LED212,,
1LED302,,
1LED304,,
1LED310,,
1LED403,,
1LED404,,
1LED406,,
1LED409,,
1LED410,,
1LED506,,
1LED604,,
1LED611,,
1LED702,,
1LED704,,
1LED705,,
1LED708,,
1LED711,,
1LED712,,
1LED804,,
1LED806,,
1LED810,,
1LED812,,
1LED911,,
2123 - FAZENDA ANGELIM,0.0,0.0
2124 - FAZENDA ANGELIM,0.0,0.0
