Nome_Fundo,Publico_Alvo
TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,INVESTIDORES EM GERAL
FATOR VERITA FII,INVESTIDORES EM GERAL
PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
GENERAL SHOPPING E OUTLETS DO BRASIL FII,INVESTIDORES EM GERAL
INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,INVESTIDOR QUALIFICADO E PROFISSIONAL
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDORES EM GERAL
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,INVESTIDOR QUALIFICADO
KINEA RENDA IMOBILIARIA FII,INVESTIDORES EM GERAL
SABIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDOR QUALIFICADO
EXITUS FIAGRO - IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,INVESTIDOR QUALIFICADO
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,INVESTIDORES EM GERAL
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,INVESTIDORES EM GERAL
OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO DA REGIÃO DO PORTO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA INCORPORAÇÃO,INVESTIDOR PROFISSIONAL
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
CAIXA FUNDO DE INVESTIMENTO IMOBILIÁRIO PORTO MARAVILHA,INVESTIDOR QUALIFICADO
OSASCO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
SALUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FII CAIXA DESENVOLVIMENTO IMOBILIARIO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ELDORADO,INVESTIDORES EM GERAL
PSG FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
TERRA - FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDOR QUALIFICADO
JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FII RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CENESP,INVESTIDORES EM GERAL
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO E PROFISSIONAL
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO DO ESTADO DE SÃO PAULO,INVESTIDOR QUALIFICADO
TREVISO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
SONDA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,INVESTIDOR QUALIFICADO
VECTOR QUELUZ LAJES CORPORATIVAS FII,INVESTIDOR QUALIFICADO
CICA JUNDIAÍ - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FUDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,INVESTIDORES EM GERAL
PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDOR QUALIFICADO
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDOR QUALIFICADO
POLO FII RECEBÍVEIS IMOBILIÁRIOS I,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO RAILWAY MALL I - FII,INVESTIDOR QUALIFICADO
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DO BRASIL,INVESTIDORES EM GERAL
BM BRASCAN LAJES CORPORATIVAS - FII,INVESTIDORES EM GERAL
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO RENDA CORPORATIVA ANGICO,INVESTIDOR QUALIFICADO
