Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,6231.25
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,36733.27
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,7416.19
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,7945.41
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,6284.67
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,6910.69
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,195.5
FII HOSPITAL DA CRIANCA,197.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,194.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,25927.71
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,24311.37
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,216407.79
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,101644.84
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,1144.3
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,969.11
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,466.5
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,1145.12
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,196.99
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,198.5
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,1673193.56
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,1429241.63
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,1419306.85
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,38890.91
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,16784.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,7405.49
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,31013.14
FII EDIFÍCIO ALMIRANTE BARROSO,2300.14
FII EDIFICIO ALMIRANTE BARROSO,2300.14
FUNDO DE INVESTIMENTO IMOBILIARIO EDIFICIO ALMIRANTE BARROSO,2498.24
FII EDIFICIO ALMIRANTE BARROSO,2374.08
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,2869.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,25998.43
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,2534.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,3484.77
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
FII TORRE ALMIRANTE,328.3
FII TORRE ALMIRANTE,39605.1
