CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Seasons,"Rua Barra Bonita, nº35, Jacarepaguá - RJ",58.67,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Costa Mare,"Rodovia Darly Santos, 134 - Jockey de Itaparica, Vila Velha - ES",3870.85,21.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda em construção,Lineu 708,"Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ",4117.43,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda em construção,Nurban,"R. Fernandes Guimarães, 81, Botafogo, Rio de Janeiro - RJ",9017.92,42.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Miraggio,"R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ",142.5,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda em construção,Glória Residencial,"R. do Russel, 632 - Glória, Rio de Janeiro - RJ",35607.69,270.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Innovitá,"Rua do Matoso, nº104, Tijuca - RJ",132.74,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",278.36,3.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Aretê - Toriba Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",9668.69,46.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2025-03-31,1,imóveis para venda acabados,Hotel & Bureal,"Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF",50.0,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
