Nome_Fundo,Tipo,Valor
5R RB CAPITAL SHOPPING CENTERS 2 FII,Cotas de Sociedades,493763471.41
5R RB CAPITAL SHOPPING CENTERS FII,Ações de Sociedades,30008001.0
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,FIP,126155486.05
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1398314.11
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FIP,37692297.69
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,13356504.76
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,110490812.01
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,2385862.23
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outros Ativos Financeiros,38192847.35
ALB - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,399998.0
ALB - FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,1750000.0
ALZ I - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,199999.0
ALZ I FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,199999.0
ALZ I FUNDO DE INVESTIMENTO IMOBILIÁRIO,LCI,2257402.35
AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,102216316.38
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,118813118.27
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,410766150.2
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,1202591895.46
ATICO RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FIDC,2635328.36
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,100337.87
BANESTES RECEBIVEIS IMOBILIARIOS FII,CRI,389993762.66
BANESTES RECEBIVEIS IMOBILIARIOS FII,LCI,46032213.68
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,35117748.05
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,301299545.42
BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,CRI,392261361.71
BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,FII,11057467.0
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,CRI,402079817.44
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,FII,4607524.85
BIRD FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,5934695.41
BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,33646597.18
BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,318703867.52
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,CRI,5928637.08
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,FII,410009396.52
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,LCI,24026204.44
BRAZIL REAL ESTATE VICTORY FUND I - FII,Outras Cotas de FI,3086079.21
BRAZIL REAL ESTATE VICTORY FUND I FII,Outras Cotas de FI,1463650.63
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,440242276.31
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1707711.22
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Ações de Sociedades,208964015.8
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Outros Ativos Financeiros,35302427.7
BRESCO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ações de Sociedades,662987718.99
BRESCO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Cotas de Sociedades,24061528.0
BRL LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,79699997.0
BRL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,5074935.17
BRPR 68 - FII DESENVOLVIMENTO II,Outras Cotas de FI,4335142.83
BRPR 68 FUNDO DE INVESTIMENTO IMOBILIARIO - FII DESENVOLVIME,Outras Cotas de FI,8622011.23
BRPR 68 FUNDO DE INVESTIMENTO IMOBILIARIO DESENVOLVIMENTO II,Outras Cotas de FI,4310494.38
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,Ações de Sociedades,198059943.08
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,CEPAC,23446396209.0
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,FII,270109.6
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,Outras Cotas de FI,13124525.94
CAIXA RIO BRAVO FUNDO DE FII,Ações,0.0
CAIXA RIO BRAVO FUNDO DE FII,Ações de Sociedades,0.0
CAIXA RIO BRAVO FUNDO DE FII,CEPAC,0.0
CAIXA RIO BRAVO FUNDO DE FII,Cotas de Sociedades,0.0
CAIXA RIO BRAVO FUNDO DE FII,FIA,0.0
CAIXA RIO BRAVO FUNDO DE FII,FIDC,0.0
CAIXA RIO BRAVO FUNDO DE FII,FII,554873731.95
CAIXA RIO BRAVO FUNDO DE FII,FIP,0.0
CAIXA RIO BRAVO FUNDO DE FII,LCI,42073527.63
CAIXA RIO BRAVO FUNDO DE FII,LIG,0.0
