Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,166124.25
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,62996.44
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,194764.89
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,215780.99
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,25.22
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,1234.85
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,571551.13
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,571338.13
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,3266.04
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,4657.05
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5771.06
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5187.06
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,5354.22
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,516088.87
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,608428.86
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,615305.26
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,7472.74
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,10327.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,9677.15
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,10496.41
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,1387395.82
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,4120695.57
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,4120695.57
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,4285832.87
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,456527.27
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,500200.25
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,325081.32
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,591508.86
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,24310.85
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,86840.97
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,6138.78
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,5591.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,35417.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,48278.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,49690.12
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,16245.07
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,101770.29
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,61333.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,114949.06
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,160408.11
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,25232.19
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,47868.43
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,9147.43
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,165040.61
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,1814.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,5958.22
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,8903.64
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,10495.65
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,3553.83
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5140.42
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5908.48
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,12658.21
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,3596.18
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,4147.51
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5476.92
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5536.95
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,35373.49
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,58038.35
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,54914.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,36071.59
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,3065.17
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5412.21
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5871.84
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5577.62
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,18263.22
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,5765.44
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,5810.42
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,6576.2
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,4160.25
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,4625.31
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,6733.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,8291.35
HOSPITAL DA CRIANCA FII,185.76
FII HOSPITAL DA CRIANÇA,189.89
FII HOSPITAL DA CRIANÇA,191.04
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,197.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,41445.64
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,13595.4
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,51903.23
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,59170.22
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,1647.76
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,1735.48
FII TORRE NORTE,198.5
FII TORRE NORTE,198.5
FII TORRE NORTE,56214.57
FII TORRE NORTE,198.5
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,905864.85
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,890946.95
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,896078.8
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,1191543.31
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,32288.68
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,83415.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,128218.31
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,26776.79
FII EDIFÍCIO ALMIRANTE BARROSO,2532.64
FII EDIFICIO ALMIRANTE BARROSO,2349.14
ALMIRANTE BARROSO FII,2300.14
FII EDIFICIO ALMIRANTE BARROSO,2300.14
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,2055.55
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,4143.42
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,5522.55
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,6937.88
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,0.0
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
BB PROGRESSIVO FII,0.0
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
FII TORRE ALMIRANTE,628.86
FII TORRE ALMIRANTE,632.95
FII TORRE ALMIRANTE,534.85
FII TORRE ALMIRANTE,500.25
FII SHOPPING PARQUE D PEDRO,191.0
FII SHOPPING PARQUE DOM PEDRO,198.5
FII SHOPPING PARQUE D PEDRO,7366253.64
FII SHOPPING PARQUE D PEDRO,195.5
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,7719.11
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,6021.78
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,5388.1
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,6609.35
FII ANCAR IC,1000.0
FII ANCAR IC,314287.91
FII ANCAR IC,0.0
FII ANCAR IC,110349.81
FII HOSPITAL NOSSA SENHORA DE LOURDES,197.64
FII HOSPITAL NOSSA SENHORA DE LOURDES,198.5
FII HOSPITAL NOSSA SENHORA DE LOURDES,198.48
FII HOSPITAL NOSSA SENHORA DE LOURDES,198.5
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,39425.59
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,1823.61
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34987.26
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,74081.94
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,9079.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,12093.89
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,11474.15
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,11211.01
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2632.37
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,15775.4
HEDGE BRASIL SHOPPING FII,2000.0
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,3055.51
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,51675.8
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,49801.24
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,7895.26
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,21143.87
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,346142.87
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,14781.03
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,20112.82
FII HOTEL MAXINVEST,127178.76
FII HOTEL MAXINVEST,76274.62
HOTEL MAXINVEST FII,367.96
HOTEL MAXINVEST FII,230.98
FII BTG PACTUAL CORPORATE OFFICE FUND,162217.76
FII BTG PACTUAL CORPORATE OFFICE FUND,229.37
FII BTG PACTUAL CORPORATE OFFICE FUND,70639.6
FUNDO DE INVESTIMENTO IMOBILIARIO BTGP CORPORATE OFFICE FUND,70639.32
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16508.42
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16498.77
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16499.77
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,16498.77
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,96061.06
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,24031.53
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,5412.35
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,438413.45
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,96352.62
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,11257.28
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,16360.98
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,79414.55
PROPERTY INVEST - FUNDO DE INVESTIMENTO IMOBILIÁRIO,207587.09
PROPERTY INVEST - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35007.1
PROPERTY INVEST - FUNDO DE INVESTIMENTO IMOBILIÁRIO,330.97
PROPERTY INVEST - FUNDO DE INVESTIMENTO IMOBILIÁRIO,17395.06
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,1984.19
