Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.01
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.02
BRAZIL REAL ESTATE VICTORY FUND I - FII,0.0
CAIXA RIO BRAVO FUNDO DE FII,0.02
CAIXA RIO BRAVO FUNDO DE FII II,0.02
CATUAI FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
FII CAPITANIA REIT FOF,0.0
FII LEGATUS SHOPPINGS,-0.0
FII NORTHWEST INVESTIMENTOS IMOBILIÁRIOS EM SAÚDE FUND I,0.0
FII PRESIDENTE VARGAS,0.0
FII TORDESILHAS,-0.0
FII TORDESILHAS INVESTIMENTO NO EXTERIOR,0.0
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,0.05
FUNDO DE INVEST IMOB - OURINVEST CYRELA,0.0
FUNDO DE INVEST IMOB - OURINVEST FUNDO DE FUNDOS,0.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.01
FUNDO DE INVEST. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO - OURINVEST RE I,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO QUINTAS,-0.0
FUNDO DE INVESTIMENTO IMOBILIARIO TOURMALET II,0.09
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO AGÊNCIAS CAIXA,0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL LAND,
FUNDO DE INVESTIMENTO IMOBILIÁRIO CDURP,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO HIERON BERLIM,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO JAPURÁ,-0.08
FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL,0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET I,0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO XP INDUSTRIAL,0.01
FUNDO DE INVESTIMENTOS IMOBILIARIOS - HABITAT I,0.0
GENERAL SHOPPING ATIVO E RENDA - FII,0.0
HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
IMMOB I  FII,-0.03
IMMOB II  FII,-0.0
IMMOB III FUNDO DE INVESTIMENTO IMOBILIARIO - FII,-0.01
JPP ALLOCATION MOGNO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
JPP FII,0.01
LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
MULTI PROPERTIES FII,
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,-0.0
RB CAPITAL PETROS FII,0.01
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.01
RENOVA FII,-0.02
RIO BRAVO IFIX FUNDO DE INVESTIMENTO IMOBILIARIO,0.05
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
SUMAUMA FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.01
TREECORP REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - I,0.01
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
VX VI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
VX XVI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
XP CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.01
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.11
XP PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO,0.06
XPCE RE FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.18
