Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
BARZEL SP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
BIRD FII - FII,0.01
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.01
BRASIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,
BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
CAIXA RIO BRAVO FUNDO DE FII,0.01
CAIXA RIO BRAVO FUNDO DE FII II,0.0
CANUMA CAPITAL MULTIESTRATEGIA FII,0.01
CATUAI VBI TRIPLE A FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
CMX REALTY III FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
DOVEL FII,-0.03
FII AAA CORPORATE OFFICE FUND,-0.01
FII BTG PACTUAL AAA CORPORATE OFFICE FUND,0.0
FII MAUA PROPRIEDADES PARA INVESTIMENTO,-0.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII BIOTIC,0.03
FUNDO DE INVESTIMENTO IMOBILIARIO DA REGIAO DO PORTO,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SAI CORPORATE,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,0.0
GTIS BRAZIL LOGISTICS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
IMMOB I  FII,-0.09
IMMOB II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.19
IMMOB III FUNDO DE INVESTIMENTO IMOBILIARIO - FII,-0.01
IMMOB IV BRAGANÇA FI IMOBILIARIO,-0.05
IMMOB V DESENVOLVIMENTO FII,0.0
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
JPP FII,0.0
KINEA RENDA IMOBILIARIA FII,0.01
OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
PETROS FUNDO DE INVESTIMENTO IMOBILIARIO FII,0.05
PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.02
POXIM FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
PROPP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
PROPP I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.01
RIO BRAVO RENDA RESIDENCIAL FII,0.0
TIVIO RENDA IMOBILIARIA FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
