Nome_Fundo,Tipo,Valor
CASPER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Cotas de Sociedades,19280119.72
CASPER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,269737.48
CATUAI FUNDO DE INVESTIMENTO IMOBILIARIO,Cotas de Sociedades,25223423.24
CIBRASEC CRÉDITO IMOBILIÁRIO - FII,CRI,32058980.06
CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,1014438.03
CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outros Ativos Financeiros,112359.29
CIX CAPITAL OPORTUNIDADES FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,2765871.08
CIX OPORTUNIDADE FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,2611056.05
CLARITAS LOGÍSTICA I - FI IMOBILIÁRIO,Outros Ativos Financeiros,18931250.59
COLONIZADOR I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ações de Sociedades,25400000.0
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,129670663.94
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,998921847.26
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,20030442.12
CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ações de Sociedades,127971128.54
CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,25014015.64
CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,407084095.63
CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,12144241.42
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ações de Sociedades,12.0
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,56301168.79
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,396953413.38
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,42041980.18
CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,CRI,711481818.93
CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,FII,13619757.62
CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,LCI,29192895.28
CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,Ações de Sociedades,121340815.55
CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,CRI,24746426.05
CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,FII,43609898.73
CSHG TOP FOFII 2 FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FII,114194382.84
CSHG TOP FOFII FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FII,129064382.15
DEL MONTE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outros Ativos Financeiros,1250601.14
DOVEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,4058445.1
EVEN PERMUTA KINEA FII FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,198.0
EXITUS DE INVESTIMENTO IMOBILIARIO - FII,Outros Ativos Financeiros,1707802.45
EXITUS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,1691315.02
FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIARIO,Ações de Sociedades,4673697.46
FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIARIO,CRI,3126593.94
FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIARIO,FII,118164759.59
FATOR VERITA FII,CRI,917445100.71
FATOR VERITA FII,FII,8553865.8
FGRP FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,732000000.0
