Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,206231.11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,613432.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,63084.2
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,1291699.86
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,64033.81
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,145360.26
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,43710.17
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,35378.34
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,5600.4
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,4348.68
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,4556.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,1849.09
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,646866.92
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,662049.44
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,529848.53
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,588300.29
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,472243.69
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,132154.64
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,8884.08
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,6773.64
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,60688.78
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,52368.13
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,531635.03
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,758751.05
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,394038.22
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,478334.37
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,581396.65
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,445286.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,162.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,24884.75
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,14453.64
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,6007.09
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,426170.7
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,46626.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,10601.53
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,12369.43
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,28292.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,261.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,261.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,261.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,261.0
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,72044.53
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,70436.7
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,29079.19
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,55091.66
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,4898.3
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,5590.43
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,1955.72
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,18169.66
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5928.39
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5128.03
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5750.53
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,781.97
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5271.21
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,6892.52
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,12612.05
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5782.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,115293.65
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,18764.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,22704.65
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,32359.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5766.51
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5430.22
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,4366.96
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,2850.18
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,40868.49
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,6347.54
0,7610.79
0,3224.33
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,11494.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,8158.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,9854.22
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,277677.85
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,145.07
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,137.23
FII HOSPITAL DA CRIANCA,348.1
FII HOSPITAL DA CRIANCA,198.5
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,110.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,110.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,110.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,110.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,102.28
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,8297.22
FII TORRE NORTE,240819.79
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,799.2
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,381328.75
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,209865.81
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,243723.8
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,446071.27
FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,16045.49
FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,38556.81
FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,17457.48
FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,16189.93
FII EDIFICIO ALMIRANTE BARROSO,73.32
FII EDIFICIO ALMIRANTE BARROSO,756.25
FII EDIFICIO ALMIRANTE BARROSO,348.5
FII EDIFICIO ALMIRANTE BARROSO,67.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,20392.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,17526.32
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,3792.97
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,19358.86
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,1279360.29
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,1387686.14
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,1535390.71
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,1650564.78
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,975.74
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,1852.9
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,1417.83
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,2893.1
FII SHOPPING PARQUE DOM PEDRO,97.53
FII SHOPPING PARQUE DOM PEDRO,560.68
FII SHOPPING PARQUE D. PEDRO,500.0
FII SHOPPING PARQUE DOM PEDRO,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,2664.72
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,7494.67
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,3361.65
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,6624.67
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,1842.26
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,3295.16
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,9016.51
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,4370.71
FII ANCAR IC,857000.0
FII ANCAR IC,287000.0
FII ANCAR IC,458000.0
FII ANCAR IC,3422000.0
FII HOSPITAL NOSSA SENHORA DE LOURDES,101.11
FII HOSPITAL NOSSA SENHORA DE LOURDES,383.19
FII NOSSA SENHORA DE LOURDES,627.87
FII NOSSA SENHORA DE LOURDES,198.5
FUNDO DE INVEST. IMOBILIARIO - FII COMERCIAL PROGRESSIVO II,113.93
FII COMERCIAL PROGRESSIVO II,154.79
FII ICON REALTY,837.16
FII ICON REALTY,335.48
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,14114.39
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,17125.19
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,17854.74
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,10509.89
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,266574.79
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,189328.33
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,387927.89
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,77968.49
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,218060.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,7805.79
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,2821045.69
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,104380.86
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,5013.44
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,10465.97
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,6185.97
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,13047.06
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,183.3
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,449.72
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,933.82
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,195.52
FII BTG PACTUAL CORPORATE OFFICE FUND,304456.49
FII BTG PACTUAL CORPORATE OFFICE FUND,121155.03
FII BTG PACTUAL CORPORATE OFFICE FUND,200.0
FII BTG PACTUAL CORPORATE OFFICE FUND,442.67
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,925692.83
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,1330816.4
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,1526571.44
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,32315.43
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,5023.1
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,61930.12
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,371292.8
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,127250.45
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,0.57
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,8665.69
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,52168.96
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,13367.32
FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST,357.22
FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST,817.64
FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST,817.64
FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST,817.64
FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,602.88
FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,222.98
FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,86.0
FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,198.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,5716.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,4584.59
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,7982.15
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,13284.44
FII BTG PACTUAL FUNDO DE CRI,489.18
FII BTG PACTUAL FUNDO DE CRI,787.29
FII BTG PACTUAL FUNDO DE CRI,13.75
