CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
02.508.235/0001-14,2021-03-31,1,Imóveis para renda acabados,Contagem,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",348156.92,2.0,,0.14,0.0,1.0,,,,,,,,,,,,,,,,2021-06-30,1.0,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",2021-05-24,2850.36,,,0.01,0.01
02.508.235/0001-14,2021-06-30,1,Imóveis para renda acabados,Contagem,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",345306.56,2.0,,0.14,0.0,1.0,,,,,,,,,,,,,,,,2021-06-30,1.0,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",2021-05-24,2850.36,,,0.01,0.01
02.508.235/0001-14,2021-09-30,2,Imóveis para renda acabados,Contagem,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",345305.93,2.0,,0.14,0.0,1.0,,,,,,,,,,,,,,,,2021-06-30,1.0,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",2021-05-24,2850.36,,,0.01,0.01
02.508.235/0001-14,2021-12-31,1,Imóveis para renda acabados,Contagem,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",345305.93,2.0,,0.14,0.0,0.99,,,,,,,,,,,,,,,,2021-06-30,1.0,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",2021-05-24,2850.36,,,0.01,0.01
03.683.056/0001-86,2021-03-31,1,Imóveis para renda acabados,CETENCO PLAZA,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",3456.36,3.0,Laje Corporativa,0.0,0.0,0.06,,,,,,,,,,,,,,,,2021-12-31,1.0,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",2021-12-01,2304.24,2.0,,0.04,0.05
03.683.056/0001-86,2021-06-30,1,Imóveis para renda acabados,CETENCO PLAZA,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",2304.24,2.0,Laje Corporativa,0.0,0.0,0.05,,,,,,,,,,,,,,,,2021-12-31,1.0,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",2021-12-01,2304.24,2.0,,0.04,0.05
03.683.056/0001-86,2021-09-30,1,Imóveis para renda acabados,CETENCO PLAZA,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",2304.24,2.0,Laje Corporativa,0.0,0.0,0.06,,,,,,,,,,,,,,,,2021-12-31,1.0,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",2021-12-01,2304.24,2.0,,0.04,0.05
09.072.017/0001-29,2021-03-31,1,Imóveis para renda acabados,Centro Empresarial Mario Garnero,Av. Brigadeiro Faria Lima 1.485 - São Paulo - SP,5115.88,7.0,-,0.14,0.0,0.05,,,,,,,,,,,,,,,,2021-12-31,1.0,"Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP",2021-10-25,3654.2,5.0,-,0.0,0.0
09.072.017/0001-29,2021-06-30,3,Imóveis para renda acabados,Centro Empresarial Mario Garnero,"Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP",3654.2,5.0,-,0.0,0.0,0.03,,,,,,,,,,,,,,,,2021-12-31,1.0,"Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP",2021-10-25,3654.2,5.0,-,0.0,0.0
09.072.017/0001-29,2021-09-30,1,Imóveis para renda acabados,Centro Empresarial Mario Garnero,"Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP",3654.2,5.0,-,0.0,0.0,0.03,,,,,,,,,,,,,,,,2021-12-31,1.0,"Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP",2021-10-25,3654.2,5.0,-,0.0,0.0
09.350.920/0001-04,2021-03-31,1,Imóveis para renda acabados,Indianópolis,"Indianópolis, 739 - São Paulo - SP",1125.0,1.0,,0.0,0.0,0.95,,,,,,,,,,,,,,,,2021-12-31,1.0,"Indianópolis, 739 - São Paulo - SP",2021-10-31,1125.0,1.0,,0.44,0.44
09.350.920/0001-04,2021-06-30,1,Imóveis para renda acabados,Indianópolis,"Indianópolis, 739 - São Paulo - SP",1125.0,1.0,,0.0,0.0,0.93,,,,,,,,,,,,,,,,2021-12-31,1.0,"Indianópolis, 739 - São Paulo - SP",2021-10-31,1125.0,1.0,,0.44,0.44
09.350.920/0001-04,2021-09-30,1,Imóveis para renda acabados,Indianópolis,"Indianópolis, 739 - São Paulo - SP",1125.0,1.0,,0.0,0.0,0.89,,,,,,,,,,,,,,,,2021-12-31,1.0,"Indianópolis, 739 - São Paulo - SP",2021-10-31,1125.0,1.0,,0.44,0.44
11.839.593/0001-09,2021-03-31,1,Imóveis para renda acabados,Galpão Industrial Ceratti,"Rodovia Miguel Melhado Campos 79, , Vinhedo, SP, 13288-003",13852.0,1.0,Direito de Propriedade,0.0,0.0,0.05,,,,,,,,,,,,,,,,2021-09-30,1.0,"Rodovia Miguel Melhado Campos 324,  Vinhedo, SP, 13053-090",2021-09-09,6451.0,1.0,Direito de Propriedade,0.03,0.02
11.839.593/0001-09,2021-03-31,1,Imóveis para renda acabados,Galpão Industrial Magna,"Rodovia Miguel Melhado Campos 79, , Vinhedo, SP, 13288-003",10440.0,1.0,Direito de Propriedade,0.0,0.0,0.01,,,,,,,,,,,,,,,,2021-09-30,1.0,"Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",2021-09-09,4862.0,1.0,Direito de Propriedade,0.01,0.01
11.839.593/0001-09,2021-06-30,1,Imóveis para renda acabados,Galpão Industrial Magna,"Rodovia Miguel Melhado Campos 79, , Vinhedo, SP, 13288-003",10440.0,1.0,Direito de Propriedade,0.0,0.0,0.01,,,,,,,,,,,,,,,,2021-09-30,1.0,"Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",2021-09-09,4862.0,1.0,Direito de Propriedade,0.01,0.01
11.839.593/0001-09,2021-06-30,1,Imóveis para renda acabados,Galpão Industrial Ceratti,"Rodovia Miguel Melhado Campos 79, , Vinhedo, SP, 13288-003",13852.0,1.0,Direito de Propriedade,0.0,0.0,0.02,,,,,,,,,,,,,,,,2021-09-30,1.0,"Rodovia Miguel Melhado Campos 324,  Vinhedo, SP, 13053-090",2021-09-09,6451.0,1.0,Direito de Propriedade,0.03,0.02
11.839.593/0001-09,2021-09-30,1,Imóveis para renda acabados,Galpão Industrial Magna,"Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",5578.0,1.0,Direito de Propriedade,0.0,0.0,0.0,,,,,,,,,,,,,,,,2021-09-30,1.0,"Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",2021-09-09,4862.0,1.0,Direito de Propriedade,0.01,0.01
11.839.593/0001-09,2021-09-30,1,Imóveis para renda acabados,Galpão Industrial Ceratti,"Rodovia Miguel Melhado Campos 324,  Vinhedo, SP, 13053-090",7401.0,1.0,Direito de Propriedade,0.0,0.0,0.01,,,,,,,,,,,,,,,,2021-09-30,1.0,"Rodovia Miguel Melhado Campos 324,  Vinhedo, SP, 13053-090",2021-09-09,6451.0,1.0,Direito de Propriedade,0.03,0.02
13.012.312/0001-67,2021-03-31,1,Imóveis para renda acabados,ALL - CIR - complexo Intermodal de Rondonópolis,BR-163- Km 95 a 23 Km do Centro de Rondonópolis,146256.0,1.0,Os recebíveis oriundos dos aluguéis foram cedidos e securitizados em operações de Mercado de Capitais e o imóvel está concuiído.,0.0,0.0,0.51,,,,,,,,,,,,,,,,2021-06-30,1.0,BR-163- Km 95 a 23 Km do Centro de Rondonópolis,2021-03-31,146256.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.51,0.51
13.012.312/0001-67,2021-03-31,1,Imóveis para renda acabados,ALL - CIR - complexo Intermodal de Rondonópolis,BR-163- Km 95 a 23 Km do Centro de Rondonópolis,146256.0,1.0,Os recebíveis oriundos dos aluguéis foram cedidos e securitizados em operações de Mercado de Capitais e o imóvel está concuiído.,0.0,0.0,0.51,,,,,,,,,,,,,,,,2021-09-30,1.0,BR-163- Km 95 a 23 Km do Centro de Rondonópolis,2021-03-31,146256.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.51,0.51
13.012.312/0001-67,2021-03-31,1,Imóveis para renda acabados,Vale do Brejo - Araguari,15 Km de Araguari - MG,464640.0,1.0,Os recebíveis oriundos dos aluguéis foram cedidos e securitizados em operações de Mercado de Capitais e o imóvel está concuiído.,0.0,0.0,0.42,,,,,,,,,,,,,,,,2021-06-30,1.0,15 Km de Araguari - MG,2021-03-31,464640.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.42,0.42
