Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.01
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.01
BRAZIL REAL ESTATE VICTORY FUND I - FII,0.21
BRAZIL REAL ESTATE VICTORY FUND I FII,0.0
CAIXA RIO BRAVO FUNDO DE FII,0.01
FII BRAZIL REAL ESTATE VISTORY FUND I,0.02
FII PRESIDENTE VARGAS,-0.04
FII PÁTEO MOINHOS DE VENTO,0.01
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,0.0
FUNDO DE INV. IMOBILIÁRIO GWI RENDA IMOBILIÁRIA - FII,0.01
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,0.0
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0
FUNDO DE INVEST. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,0.23
FUNDO DE INVEST. IMOBNILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,0.01
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO AGÊNCIAS CAIXA,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,0.03
FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,0.03
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,0.2
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,0.03
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,0.01
GENERAL SHOPPING ATIVO E RENDA - FII,0.01
JPP FII,-0.03
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,0.01
MULTIGESTÃO RENDA COMERCIAL FUNDO DE INV. IMOBILIÁRIO,0.0
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,-0.03
OURO PRETO DESENVOLVIMENTO IMOBILIARIO I - FII,0.01
RB CAPITAL GENERAL SHOPPING SULACAP FII,0.02
RB CAPITAL PETROS FII,-0.01
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
TREECORP REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
TREECORP REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - I,0.0
