CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
00.332.266/0001-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,0.0,19719877.0,inf
00.332.266/0001-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,0.0,8647158.0,inf
00.332.266/0001-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,50574.85,18913954.17,37397.94
00.762.723/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,159562.82,3235891.01,2027.97
00.762.723/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,271842.75,6022309.29,2215.37
00.762.723/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,152269.19,2862697.29,1880.02
00.762.723/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,257418.41,5689375.62,2210.17
00.868.235/0001-08,FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,63399.02,356860.65,562.88
00.868.235/0001-08,FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,13679.25,1373113.04,10037.93
00.868.235/0001-08,FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,18938.11,1299781.89,6863.31
00.868.235/0001-08,FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,0.0,2673533.15,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,20081450.45,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,36120763.7,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,17384654.62,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,225913.78,33327772.94,14752.43
01.235.622/0001-61,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,1115983.39,22319667.75,2000.0
01.235.622/0001-61,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.0,60996831.84,inf
01.235.622/0001-61,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.0,20678131.61,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,514473.33,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,943374.53,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,350617.61,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,713517.86,inf
01.601.918/0001-59,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,0.0,1199898.8,inf
01.601.918/0001-59,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,60987.36,2422000.0,3971.31
