Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,976690.56
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,73986.91
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,65796.23
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,377783.51
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,58311.3
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,61567.78
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,51198.11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,86743.41
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,1212.8
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,1028.64
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,64.25
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,1361.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,464556.3
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,429265.94
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,441537.77
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,82963.94
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5690.38
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,6166.95
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,6324.43
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,11396.85
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,264301.91
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,2015427.96
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,1142172.13
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,894722.56
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,620608.18
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,432831.19
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,453604.92
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,778422.67
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,882.32
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,1719.75
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,1603.77
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,2111.8
