Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,1348196.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,1843224.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,232042.73
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,1955465.16
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,163751.62
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,103478.81
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,140968.33
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,18810.77
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,8918.43
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,5654.64
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,5596.44
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,5629.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,591141.86
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,494232.27
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,489532.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,576974.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,433942.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,9504.66
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,1267391.55
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,379428.83
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,289825.05
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,970951.65
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,970951.65
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,970951.65
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,5945.74
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,17049.61
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,420984.82
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,3018849.26
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,12894.52
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,12894.52
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,17630.8
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,21482.44
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,27349.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,17358.83
FII PÁTEO MOINHOS DE VENTO,750023.0
FII PÁTEO MOINHOS DE VENTO,261.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,261.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,261.0
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,52198.84
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,9999.46
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,101039.79
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,81279.36
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,18263.64
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,1398.27
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,17926.98
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,3190.21
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,23151.3
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5887.09
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,5744.29
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,13106.47
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,8846.67
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5407.74
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5441.47
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5027.03
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,16613.86
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,62990.61
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,29291.59
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,10987.99
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,269051.71
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5169.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,19489.8
