Nome_Fundo,Tipo,Valor
051 AGRO FAZENDAS II FIAGRO,Outras Cotas de FI,8231769.28
051 AGRO FAZENDAS II FIAGRO,Outros Ativos Financeiros,843978066.45
051 AGRO FAZENDAS II FIAGRO IMOBILIARIO,Outras Cotas de FI,3726929.43
051 AGRO FAZENDAS III FIAGRO,Outras Cotas de FI,29427584.79
051 AGRO FAZENDAS III FIAGRO,Outros Ativos Financeiros,697903477.04
051 AGRO FI CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO IMOB,Outras Cotas de FI,3195761.07
17007 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,12943337.03
2509 FUNDO DE INVESTIMENTO IMOBILIARIO - FII,CEPAC,740000.0
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,306197020.13
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1494.69
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,71782602.78
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,664.52
AF INVEST CRI FII - RECEBIVEIS IMOBILIARIOS,CRI/CRA,308740193.89
AF INVEST CRI FII - RECEBIVEIS IMOBILIARIOS,FII,566000.0
AF INVEST CRI FII - RECEBIVEIS IMOBILIARIOS,Outras Cotas de FI,11259642.2
AF INVEST CRI FII RECEBÍVEIS IMOBILIÁRIOS,CRI/CRA,267682332.96
AF INVEST CRI FII RECEBÍVEIS IMOBILIÁRIOS,FII,1054290.0
AF INVEST CRI FII RECEBÍVEIS IMOBILIÁRIOS,Outras Cotas de FI,22315344.96
AGILE INVESTE FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,23015759.03
AGRI8 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,8168811.88
AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,6578.21
AJ MALLS FII,Outras Cotas de FI,21705016.76
AJU FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,-23652.06
ALDEOTA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,137942716.94
ALDEOTA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,80847.02
ALDEOTA RENDA IMOBILIÁRIA FII - FII,Ações de Sociedades,93198017.72
ALDEOTA RENDA IMOBILIÁRIA FII - FII,Outras Cotas de FI,2249927.9
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,33000000.0
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,33610473.38
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1201645.26
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,88688960.63
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,541413.32
ALIANZA DIGITAL REALTY FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,2035782.82
ALIANZA ITACA DESENVOLVIMENTO FII,Ações de Sociedades,42300500.0
ALIANZA ITACA DESENVOLVIMENTO FII,FII,524680.0
ALIANZA ITACA DESENVOLVIMENTO FII,Outras Cotas de FI,18497237.35
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,CRI/CRA,111911111.08
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,FII,118453991.5
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,27989664.71
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,CRI/CRA,17062435.86
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,41295742.17
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,342653.88
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,4120996.93
ALIANZA REAL ESTATE II FII,Ações de Sociedades,375354834.24
ALIANZA REAL ESTATE II FII,Outras Cotas de FI,49437775.15
ALIANZA TRUST RENDA IMOBILIARIA - FII,CRI/CRA,20732867.98
ALIANZA TRUST RENDA IMOBILIARIA - FII,FII,193969094.28
ALIANZA TRUST RENDA IMOBILIARIA - FII,Outras Cotas de FI,49078746.97
ALIANZA TRUST RENDA IMOBILIARIA FII,CRI/CRA,40912880.11
ALIANZA TRUST RENDA IMOBILIARIA FII,FII,694739767.32
ALIANZA TRUST RENDA IMOBILIARIA FII,Outras Cotas de FI,781037160.89
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,283271.42
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIARIO,Outros Ativos Financeiros,2942176.34
