Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
- - Berrini - São Paulo/SP,0.0,0.0
- - Centro - Fortaleza/CE,0.0,0.0
- - Centro - Rio de Janeiro/RJ,0.0,0.0
- - Centro Histórico - Porto Alegre/RS,0.0,0.0
- - Ed. Olivetti Paulista - São Paulo/SP,0.0,0.0
- - Monções - São Paulo/SP,0.0,0.0
- - Praça Pio X - Rio de Janeiro/RJ,0.0,0.0
0305 - SUL,0.0,0.0
0309 - SUL,0.0,0.0
1,0.0,0.0
10,0.0,0.0
1005 Cristal Tower,,
1009 Cristal Tower,,
105410_44669,,
11,0.0,0.0
11 Viva Verde,,
11254_315,,
113 - SANTOS,,
114679_103,,
115 - MDC,,
117 - PIR,,
117889-302_5,,
118 - RP,,
119344_44669,0.0,0.0
119583_534_3,,
12,0.0,0.0
12 OUTUB,0.0,0.0
12 Viva Verde,,
1206 Cristal Tower,,
1207 Cristal Tower,,
1208 Cristal Tower,,
121 Viva Verde,,
124 Viva Verde,,
13,0.0,0.0
13 Viva Verde,,
131744_LOTE8,,
133 Viva Verde,,
133541_LOTE7,,
134 Viva Verde,,
134090_3090,,
13594_44669,0.0,0.0
136894_44669,,
137 - SP,,
14,0.0,0.2
141 Viva Verde,,
142 Viva Verde,,
14217_4587,,
143 Viva Verde,,
144 Viva Verde,,
148130-23_5,,
15,0.0,0.0
152918_1464_,,
15555_21050,,
156161-34_5,,
157139_2860_,,
16,0.0,0.0
161 - BLU,,
17,0.0,0.0
1702 A Thiago de Mello,,
17086_100,,
173455_171_5,,
18,0.0,0.0
180 - RJ,,
19,0.0,0.0
192_SALVADOR,,
19803/SC - MUL,0.0,0.0
2,0.0,0.0
20,0.0,0.0
21,0.0,0.0
213489-100_5,,
213489-303_5,,
214 - RJ,,
22,0.0,0.0
22 - SP,,
22 Viva Verde,,
2260_49076,0.0,0.0
23,0.0,0.0
23 Viva Verde,,
237_RJ,,
24,1.0,0.0
24 Viva Verde,,
247 - SP,,
24° Andar do Edifício Castello Branco,0.0,0.0
25,1.0,0.0
255 - PA,,
256 - SJC,,
