Nome_Fundo,Tipo,Valor
5R RB CAPITAL SHOPPING CENTERS 2 FII,Cotas de Sociedades,493763471.41
5R RB CAPITAL SHOPPING CENTERS FII,Ações de Sociedades,30008001.0
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,689237.91
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,40602123.98
ALZ I FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,199999.0
ALZ I FUNDO DE INVESTIMENTO IMOBILIÁRIO,LCI,4191703.31
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,993742.6
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,2392151.71
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,311449573.81
ATICO RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FIDC,1316135.61
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,13260.1
BANESTES RECEBIVEIS IMOBILIARIOS FII,CRI,71967365.71
BANESTES RECEBIVEIS IMOBILIARIOS FII,LCI,16285278.7
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,8760793.02
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,47202186.32
BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,CRI,95938348.7
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,CRI,102844202.69
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,FII,1118548.55
BIRD FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,1144337.79
BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,797512.39
BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,22313845.02
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,FII,74107912.3
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,LCI,15033122.82
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,55959136.32
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Ações,49241003.95
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Ações de Sociedades,49241003.95
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Outros Ativos Financeiros,215530.58
BRL LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,59699997.0
BRL LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,2088.16
BRPR 68 FUNDO DE INVESTIMENTO IMOBILIARIO - FII DESENVOLVIME,Outras Cotas de FI,4238107.61
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,Ações de Sociedades,49514985.77
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,CEPAC,6132078785.6
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,FII,72862.0
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,Outras Cotas de FI,3101010.96
CAIXA RIO BRAVO FUNDO DE FII,FII,130777318.99
CAIXA RIO BRAVO FUNDO DE FII,LCI,12092387.36
CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,CRI,66511747.52
CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,6210303.26
CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,20894730.69
CEDRO II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1532960.88
CHALLENGER FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,1662910.88
CIBRASEC CRÉDITO IMOBILIÁRIO - FII,CRI,14660784.55
CIDADE FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,64971.21
CIX CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,24282.14
CLARITAS LOGÍSTICA I - FI IMOBILIÁRIO,Outros Ativos Financeiros,4715156.56
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,116325180.33
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,269653913.24
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,19681850.78
CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,112149913.0
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ações de Sociedades,3.0
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,11130166.1
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,89749518.07
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,46840024.35
CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,CRI,56481099.09
CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,FII,12023560.82
CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INV IMOBILIÁRIO - FII,LCI,18063576.4
CSHG TOP FOFII 2 FUNDO DE INVESTIMENTO IMOBILIARIO - FII,FII,103219280.01
