Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
1LED1606,,
1LED1608,,
1LED1611,,
1LED1612,,
1LED201,,
1LED203,,
1LED204,,
1LED210,,
1LED212,,
1LED302,,
1LED304,,
1LED310,,
1LED403,,
1LED404,,
1LED406,,
1LED409,,
1LED410,,
1LED506,,
1LED604,,
1LED611,,
1LED702,,
1LED704,,
1LED705,,
1LED708,,
1LED711,,
1LED712,,
1LED804,,
1LED806,,
1LED810,,
1LED812,,
1LED911,,
202384,,
202908,,
204403,,
204623,,
204860,,
206864,,
206931,,
207119,,
207128,,
2073247,,
2077779,,
208017,,
2080383,,
208394,,
208396,,
208398,,
208404,,
208406,,
208408,,
208416,,
208434,,
208436,,
208438,,
208444,,
208454,,
208457,,
208458,,
208482,,
2085026,,
208544,,
208984,,
209008,,
209027,,
2091282,,
209504,,
209963,,
210092,,
2101159,,
210564,,
2107930,,
210844,,
211662,,
211777,,
211787,,
211892,,
2121903,,
212281,,
2123 - FAZENDA ANGELIM,0.0,0.0
2124 - FAZENDA ANGELIM,0.0,0.0
2127829,,
213604,,
2137837,,
215092,,
215249,,
2154152,,
2160141,,
216353,,
2171444,,
2174680,,
2174681,,
2176943,,
2178517,,
2178655,,
2182515,,
218448,,
2188315,,
2188444,,
2191925,,
2194 - FAZENDA ANGELIM,0.0,0.0
2197063,,
2197464,,
2197680,,
220022,,
2203204,,
2205057,,
2210218,,
2213023,,
2213024,,
2213457,,
2216153,,
221618,,
221827,,
222153,,
222465,,
2226801,,
222714,,
2230663,,
223231,,
2232470,,
2233227,,
223489,,
2235568,,
223918,,
2239794,,
224634,,
225039,,
2254519,,
225593,,
2256594,,
2257639,,
225922,,
226188,,
2262556,,
227058,,
2283358,,
2286190,,
2289549,,
2289589,,
229090,,
229435,,
2298760,,
2300 - FAZENDA VALE DO GRAMAME II,0.0,0.0
230492,,
230520,,
230640,,
231232,,
231374,,
231459,,
231498,,
2315471,,
231603,,
231644,,
2321179,,
2321202,,
232692,,
232962,,
232972,,
233582,,
233840,,
234426,,
234619,,
234913,,
234985,,
234991,,
2354712,,
2360323,,
2360407,,
2365423,,
236550,,
2366751,,
2366754,,
2366862,,
2366875,,
236992,,
237357,,
237458,,
2374936,,
237811,,
237969,,
237999,,
238160,,
2381714,,
239408,,
240020,,
240032,,
2404318,,
240974,,
241519,,
241562,,
2424791,,
242717,,
244099,,
244100,,
244106,,
245718,,
245809,,
2459 - FAZENDA COLIBRI I E II,0.0,0.0
245941,,
2460530,,
2460539,,
2461321,,
2461366,,
2466 - FAZENDA BICA E GUME,0.0,0.0
2467 - FAZENDA RIACHO DO SALTO II,0.0,0.0
2468 - FAZENDA RIACHO FUNDO(Faz. Riacho do Salto I),0.0,0.0
2469 - FAZENDA RIACHO DO SALTO III,0.0,0.0
2471 - FAZENDA JANGADA,0.0,0.0
2472 - BELO HORIZONTE,0.0,0.0
2474 - FAZENDA NOVO HORIZONTE,0.0,0.0
2478 - FAZENDA VALE DO POPOCAS,0.0,0.0
248298,,
249564,,
24° Andar do Edifício Castello Branco,0.0,0.0
25% Imóvel - FABRICA DA FORD MOTORS DO BRASIL,,
250128,,
250401,,
250617,,
251378,,
251441,,
251449,,
251468,,
2517548,,
251880,,
251921,,
251990,,
252056,,
255328,,
257814,,
259241,,
260322,,
260326,,
262665,,
265510,,
267397,,
267526,,
267605,,
267920,,
268496,,
270364,,
270537,,
272488,,
272526,,
272722,,
273272,,
273274,,
273772,,
274318,,
274320,,
274489,,
274580,,
274753,,
274862,,
275787,,
275789,,
276602,,
276844,,
276891,,
277231,,
277240,,
278179,,
278208,,
279558,,
279627,,
279995,,
2810 - FAZENDA IBURA,0.0,0.0
282293,,
282315,,
282344,,
283251,,
283402,,
285172,,
2870872,,
287175,,
287337,,
287343,,
287365,,
2874735,,
288653,,
288902,,
2890215,,
289032,,
2890376,,
289552,,
289558,,
289566,,
2902771,,
2905784,,
2915775,,
2915988,,
2916036,,
2916216,,
2916271,,
291867,,
291984,,
292444,,
293341,,
2934160,,
293661,,
293795,,
294305,,
294385,,
294394,,
294497,,
294969,,
