Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
ALIANZA TRUST RENDA IMOBILIARIA FII,0.01
BARZEL SP FII RESPONSABILIDADE LIMITADA,-0.0
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.01
BIRD FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.01
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FUNDO DE FUNDOS DE INV,0.02
BRASIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,
BTG PACTUAL LOGCP FUNDO DE INVESTIMENTO IMOBILIARIO  FII,0.02
CANUMA CAPITAL MULTIESTRATEGIA FII,0.02
CHALLENGER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.03
CMX REALTY III FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
FUNDO DE INVESTIMENTO IMOBILIARIO  VBI PRIME PROPERTIES,0.01
FUNDO DE INVESTIMENTO IMOBILIARIO - FII BIOTIC,-0.0
FUNDO DE INVESTIMENTO IMOBILIARIO MACAM SHOPPING,0.02
FUNDO DE INVESTIMENTO IMOBILIARIO VOTORANTIM PATRIMONIAL XII,-0.07
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,-0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,0.01
IMMOB I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.03
IMMOB III FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.01
IMMOB V DESENVOLVIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.04
JPP FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP LIM,-0.01
KINEA OPORTUNIDADES REAL ESTATE FII,0.01
KINEA RENDA IMOBILIARIA FII,0.01
PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.02
POXIM FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
PROPP I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.0
RAIZZ RENDA LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
RBR TOP OFFICES FII RESPONSABILIDADE LIMITADA,0.01
TELLUS MULTIESTRATEGIA  FII,0.01
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
TIVIO SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
