CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
00.762.723/0001-28,FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,17836.09,2957478.06,16581.43
00.762.723/0001-28,FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,0.0,5914956.12,inf
00.762.723/0001-28,FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,0.0,2957478.06,inf
00.762.723/0001-28,FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,0.0,5246441.13,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,16109058.24,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,22088935.92,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,3662994.27,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,16599056.19,inf
01.235.622/0001-61,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.0,20027643.37,inf
01.235.622/0001-61,OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.0,26157475.45,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,230956.98,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,941034.25,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,0.0,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,409028.08,inf
01.601.918/0001-59,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,0.0,2500000.0,inf
01.601.918/0001-59,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,0.0,0.0,inf
01.601.918/0001-59,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,0.0,2670000.0,inf
01.633.741/0001-72,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,3621.6,218733.55,6039.69
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,3778920.79,inf
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,3778920.79,inf
01.657.856/0001-05,SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,829935.95,inf
01.657.856/0001-05,SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,922156.2,inf
01.657.856/0001-05,SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,404261.31,inf
02.027.437/0001-44,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,0.0,-0.0,-inf
02.027.437/0001-44,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,0.0,167963.91,inf
02.508.235/0001-14,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,0.0,3624345.0,inf
02.508.235/0001-14,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,0.0,5231745.0,inf
02.508.235/0001-14,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,0.0,2855700.04,inf
02.508.235/0001-14,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,0.0,6224400.0,inf
03.507.519/0001-59,FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,348162.71,7733665.0,2221.28
03.507.519/0001-59,FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,1970098.45,9286487.5,471.37
03.507.519/0001-59,FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,0.0,1159076.5,inf
