Nome_Fundo,Tipo,Valor
051 AGRO FI CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO IMOB,Outras Cotas de FI,11344896.11
17007 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,19762627.1
2509 FUNDO DE INVESTIMENTO IMOBILIARIO - FII,CEPAC,185000.0
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,287226778.66
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,29372.26
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,144031543.98
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,17459.85
AF INVEST CRI FII,CRI,262697974.41
AF INVEST CRI FII,FII,350525.0
AF INVEST CRI FII,Outras Cotas de FI,28683464.18
AF INVEST CRI FII - RECEBÍVEIS IMOBILIÁRIOS,CRI/CRA,282601919.26
AF INVEST CRI FII - RECEBÍVEIS IMOBILIÁRIOS,FII,1300584.62
AF INVEST CRI FII - RECEBÍVEIS IMOBILIÁRIOS,Outras Cotas de FI,6180701.51
AF INVEST CRI FII RECEBIVEIS IMOBILIARIOS,CRI,384964786.87
AF INVEST CRI FII RECEBIVEIS IMOBILIARIOS,FII,2822922.25
AF INVEST CRI FII RECEBIVEIS IMOBILIARIOS,Outras Cotas de FI,17583734.29
AGRI8 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,492929.56
AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,241960.11
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,66000000.0
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,33000000.0
ALDEOTA RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,4832044.24
ALIANZA DIGITAL REALTY FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,1918652.02
ALIANZA DIGITAL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,722845.52
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,CRI,2397730.23
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,115606792.04
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,19187118.22
ALIANZA ITACA DESENVOLVIMENTO FII,Cotas de Sociedades,12750000.0
ALIANZA ITACA DESENVOLVIMENTO FII,Outras Cotas de FI,1593223.83
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,CRI,14728756.33
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,CRI/CRA,15623476.96
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,FII,91817207.89
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,7780330.69
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO,Outros Ativos Financeiros,4191353.14
ALIANZA REAL ESTATE II FII,Ações de Sociedades,207946688.0
ALIANZA REAL ESTATE II FII,Cotas de Sociedades,207946688.0
ALIANZA REAL ESTATE II FII,Outras Cotas de FI,15455923.47
ALIANZA TRUST RENDA IMOBILIARIA - FII,Ações de Sociedades,230745260.68
ALIANZA TRUST RENDA IMOBILIARIA - FII,CRI,42952643.24
ALIANZA TRUST RENDA IMOBILIARIA - FII,CRI/CRA,20324119.18
ALIANZA TRUST RENDA IMOBILIARIA - FII,FII,223008138.61
ALIANZA TRUST RENDA IMOBILIARIA - FII,Outras Cotas de FI,347148386.22
ALIANZA TRUST RENDA IMOBILIARIA FII,Ações de Sociedades,115372630.34
ALIANZA TRUST RENDA IMOBILIARIA FII,FII,64961029.83
ALIANZA TRUST RENDA IMOBILIARIA FII,Outras Cotas de FI,39405172.08
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIARIO,Outros Ativos Financeiros,4215000.27
ALIANZA ÍTACA DESENVOLVIMENTO FII,Ações de Sociedades,43795000.0
ALIANZA ÍTACA DESENVOLVIMENTO FII,Outras Cotas de FI,22659090.0
ALPH TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,1397114.62
ANGOSTURA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,440000.0
ANGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1384118.37
APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,FIP,18336000.0
APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,122591460.12
APOLO FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,95852.73
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,239119108.82
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,87383558.23
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,704551.7
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,40423818.92
ARAM SKY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,53175000.0
ARC FUNDO DE INVESTIMENTO IMOBILIÁRIO III - FII,Outras Cotas de FI,14032698.67
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,51039676.85
AROEIRA 333 RENDA LOGÍSTICA FII,Outras Cotas de FI,17764631.09
ARPURO I FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,17214.96
ARTEMIS 2022 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,2002000.0
ARTEMIS 2022 FUNDO DE INVESTIMENTO IMOBILIÁRIO,CRI,59109341.06
ARTEMIS 2022 FUNDO DE INVESTIMENTO IMOBILIÁRIO,CRI/CRA,6636398.04
ARTEMIS 2022 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,9482496.26
ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIARIO,FII,72019706.46
ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIARIO,Outros Ativos Financeiros,12383151.53
ASSET BANK - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,101355.61
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,1370564.36
AUREA EXTREMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,133014080.02
AUTONOMY EDIFICIOS CORPORATIVOS FII,Outros Ativos Financeiros,12551964.86
AZ QUEST SOLE FIAGRO - IMOBILIÁRIO,CRI/CRA,153405077.92
AZ QUEST SOLE FIAGRO - IMOBILIÁRIO,FIDC,5048698.24
AZ QUEST SOLE FIAGRO - IMOBILIÁRIO,Outras Cotas de FI,74565030.91
AZURITA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,905128.11
BANESTES RECEBIVEIS IMOBILIARIOS FII,Ações de Sociedades,29988110.1
BANESTES RECEBIVEIS IMOBILIARIOS FII,CRI,1697182315.24
BANESTES RECEBIVEIS IMOBILIARIOS FII,CRI/CRA,550601726.32
BANESTES RECEBIVEIS IMOBILIARIOS FII,FII,255856132.84
BANESTES RECEBIVEIS IMOBILIARIOS FII,Outras Cotas de FI,66026202.17
BARZEL BLP FUNDO DE INVESTIMENTO IMOBILIARIO,Ações de Sociedades,837559089.7
BARZEL BLP FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,1483457.14
BARZEL CEA FUNDO DE INVESTIMENTO IMOBILIARIO,Ações de Sociedades,368694126.45
BARZEL CEA FUNDO DE INVESTIMENTO IMOBILIARIO,Outras Cotas de FI,279228.85
BARZEL CEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,360802780.43
BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,1566702929.13
BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,706153.68
