Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,609375.92
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,569584.13
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5587.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,22255.16
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5368.78
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,3229.95
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,457210.33
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,2851.14
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,5950.56
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,15647.35
FUNDO DE INVESTIMENTO IMOBILIARIO PATEO MOINHOS DE VENT,5681.0
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,77215.44
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,15945.4
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,30288.89
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,5725.01
FII PROJ AGUA BRANCA,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,5446.73
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,3553.53
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,7245.59
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,198.5
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,6501.4
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,1690.46
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,198.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,18271.12
FII EDIFICIO ALMIRANTE BARROSO,2300.14
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,3401.8
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,0.0
FII TORRE ALMIRANTE,537738.6
FUNDO DE INVESTIMENTO IMOBILIARIO - SHOPPING PARQUE D. PEDRO,198.5
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,240.03
FII ANCAR IC,976292.93
FII HOSPITAL NOSSA SENHORA DE LOURDES,29.66
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,15823.74
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,5239.56
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,590422.02
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,26489.95
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,118865.72
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,-540.52
FII - FII BTG PACTUAL CORPORATE OFFICE FUND,4450190.28
FUNDO DE INVESTIMENTO IMOBILIARIO RIO GRANDE,3330.32
RB CAPITAL RENDA II,17498.77
PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,4784.06
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,72264.98
FII PROPERTY INVEST,599105.89
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,2000.0
SEQUÓIA III RENDA IMOBILIÁRIA FII,6023.84
FII - BTG PACTUAL CREDITO IMOBILIARIO,0.0
CIDADE JARDIM CONTINENTAL TOWER FII,2000.0
HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII PRIME PORTFOLIO,38197.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,552195.51
DRIT11 FII,1000.0
DOVEL FII,2100.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII PQ DOM PEDRO SHOPP C,198.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,19823.78
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2072569.25
PÁTRIA RECEBÍVEIS IMOBILIÁRIOS - FII,1620514.74
FII ANHANGUERA EDUCACIONAL,197.0
REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,19241.97
PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LIMITADA,552.22
JPP FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP LIM,500.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,198.5
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,1100.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,198.5
FATOR VERITA FII,51188.45
PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,5000.17
GENERAL SHOPPING E OUTLETS DO BRASIL FII,0.0
INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,1588.75
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,37802.12
KINEA RENDA IMOBILIARIA FII,459182.91
SABIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,9454.4
EXITUS FIAGRO - IMOBILIÁRIO,15351.08
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,117.34
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,12179131.79
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,9420.84
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,74676.15
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,2000.0
OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO,1343708.92
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,8897.89
FUNDO DE INVESTIMENTO IMOBILIÁRIO DA REGIÃO DO PORTO,1666.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA INCORPORAÇÃO,5064.98
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2000.0
CAIXA FUNDO DE INVESTIMENTO IMOBILIÁRIO PORTO MARAVILHA,10576.62
OSASCO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
SALUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,1600.33
FII CAIXA DESENVOLVIMENTO IMOBILIARIO,893.62
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ELDORADO,5722.94
PSG FUNDO DE INVESTIMENTO IMOBILIÁRIO,35396.01
TERRA - FUNDO DE INVESTIMENTO IMOBILIARIO,197.04
JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,89041.06
