Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
ALIANZA TRUST RENDA IMOBILIARIA FII,0.0
BARZEL SP FII RESPONSABILIDADE LIMITADA,-0.0
BARZEL SP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
BIRD FII - FII,0.0
BIRD FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.02
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII,-0.02
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FUNDO DE FII - FII,-0.01
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.0
BRASIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,
BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
BTG PACTUAL LOGCP FUNDO DE INVESTIMENTO IMOBILIARIO  FII,0.01
CANUMA CAPITAL MULTIESTRATEGIA FII,0.0
CMX REALTY III FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
DOVEL FII,-0.02
FUNDO DE INVESTIMENTO IMOBILIARIO  VBI PRIME PROPERTIES,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII BIOTIC,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,0.0
IMMOB I  FII,-0.1
IMMOB I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.07
IMMOB III FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.0
IMMOB IV BRAGANÇA FI IMOBILIARIO,-0.05
IMMOB V DESENVOLVIMENTO FII,0.0
IMMOB V DESENVOLVIMENTO FII - FII,0.0
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.12
JPP FII,0.0
JPP FII - FII,-0.01
KINEA OPORTUNIDADES REAL ESTATE FII,0.01
KINEA RENDA IMOBILIARIA FII,0.01
LOFT I FUNDO DE INVESTIMENTO IMOBILIÁRIO,
LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,
LOFT III FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,
OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.01
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
PETROS FUNDO DE INVESTIMENTO IMOBILIARIO FII,0.01
PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.03
POXIM FUNDO DE INVESTIMENTO IMOBILIARIO,-0.05
PROPP I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,-0.02
RAIZZ RENDA LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
RBR TOP OFFICES FII RESPONSABILIDADE LIMITADA,0.0
TELLUS MULTIESTRATEGIA  FII,-0.04
TIVIO RENDA IMOBILIARIA FUNDO DE INVESTIMENTO IMOBILIARIO,0.01
TIVIO SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
