CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAR3_33,"Avenida Brasil, 1.415, no loteamento Jardim São Paulo, Americana - SP - Rio Verde Condomínio Garnet Unidade 33 - Apartamento Residencial",155.42,1.0,Nenhuma característica relevante,,,,,,,,,,0.01,2018-12-31,1.0,"Avenida Brasil, 1.415, no loteamento Jardim São Paulo, Americana - SP - Rio Verde Condomínio Garnet Unidade 33 - Apartamento Residencial",155.42,1.0,Nenhuma característica relevante,0.01,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,MAG1_41,"Rua João Amato, 1.285, bairro Jardim São Roque, Limeira - SP - Rio Verde Residencial Maggiore Unidade 41 - Apartamento Residencial",97.76,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua João Amato, 1.285, bairro Jardim São Roque, Limeira - SP - Rio Verde Residencial Maggiore Unidade 41 - Apartamento Residencial",97.76,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,REN_102,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 102 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 102 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,REN_1103,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 1103 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"R. dos Passos, 240 - Vila Edmundo, Taubaté  Coli Condomínio Renaissance Unidade 1103 - Apartamento Residencial",155.0,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,MAI3_193,"Rua Mário Aparecido Cortez, n. 120, bairro Vila Santa Josefa, Limeira - SP - Rio Verde Maison D'Art Residencial - Dali Unidade 193 - Apartamento Residencial",146.26,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Mário Aparecido Cortez, n. 120, bairro Vila Santa Josefa, Limeira - SP - Rio Verde Maison D'Art Residencial - Dali Unidade 193 - Apartamento Residencial",146.26,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,EASY1006,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 1006 - Apartamento Residencial",50.2,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Acre, 820, Nossa Senhora das Graças, Manaus/Amazonas Unipar Easy Residence Unidade 1006 - Apartamento Residencial",50.2,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAI5_503,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 503, 5º Andar -  Bloco - 5 - Vita Felice",58.86,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 503, 5º Andar -  Bloco - 5 - Vita Felice",58.86,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,TAR_106,"Vila Nossa Senhora das Graças, na cidade de Taubaté, Estado de São Paulo Coli Residencial Tarsila do Amaral Unidade 106 - Apartamento Residencial",49.88,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Vila Nossa Senhora das Graças, na cidade de Taubaté, Estado de São Paulo Coli Residencial Tarsila do Amaral Unidade 106 - Apartamento Residencial",49.88,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,GAI3_906,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 906, 9º Andar -  Bloco - 3 - Vita Felice",57.78,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua Adelina Leal, 358, Centro, Itaboraí - RJ -  Unid 906, 9º Andar -  Bloco - 3 - Vita Felice",57.78,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
28.893.734/0001-66,2018-12-31,1,imóveis para venda acabados,MAG2_113,"Rua João Amato, 1.285, bairro Jardim São Roque, Limeira - SP - Rio Verde Residencial Maggiore Unidade 113 - Apartamento Residencial",97.76,1.0,Nenhuma característica relevante,,,,,,,,,,0.0,2018-12-31,1.0,"Rua João Amato, 1.285, bairro Jardim São Roque, Limeira - SP - Rio Verde Residencial Maggiore Unidade 113 - Apartamento Residencial",97.76,1.0,Nenhuma característica relevante,0.0,Venda,,,,,,,,,
