Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.0
CAIXA RIO BRAVO FUNDO DE FII,-0.02
CAIXA RIO BRAVO FUNDO DE FII II,-0.0
CMX REALTY III FUNDO DE INVESTIMENTO IMOBILIARIO,-0.01
DEVANT RECEBÍVEIS IMOBILIÁRIOS FII,
DOVEL FII,0.0
FII BTG PACTUAL AAA CORPORATE OFFICE FUND,0.01
FII BTG PACTUAL CORPORATE OFFICE FUND,0.0
FII BTG PACTUAL PRIME OFFICES I,0.0
FII BTG PACTUAL PRIME OFFICES I - FII,0.0
FII PRIME OFFICES I,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO BTGP AAA CORP OFFICE FUND,-0.02
FUNDO DE INVESTIMENTO IMOBILIARIO BTGP CORPORATE OFFICE FUND,-0.0
FUNDO DE INVESTIMENTO IMOBILIARIO BTGP PRIME OFFICES I,0.02
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,0.0
GTIS BRAZIL LOGISTICS FII,0.0
IMMOB I  FII,0.34
IMMOB I FUNDO DE INVESTIMENTOIMOBILIÁRIO - FII,0.01
IMMOB II  FII,-0.0
IMMOB III FUNDO DE INVESTIMENTO IMOBILIARIO - FII,-0.02
IMMOB IV BRAGANÇA FI IMOBILIARIO,0.01
IMMOB V DESENVOLVIMENTO FII,0.01
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
JPP FII,0.12
KINEA RENDA IMOBILIARIA FII,0.0
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.01
PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.43
RB CAPITAL PETROS FII,-0.0
RIO BRAVO RENDA RESIDENCIAL FII,0.03
