Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,260526.37
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,104414.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,242476.78
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,453866.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,70545.61
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,70545.61
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,300079.84
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,299806.24
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,779.09
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,776.64
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,1120.27
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,2898.57
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,529811.49
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,3690.92
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,3756.53
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,474893.33
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5051.04
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5522.72
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5702.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,8478.04
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,236349.17
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,405554.96
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,2734727.36
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,3184009.97
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,304906.34
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,413012.41
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,534848.43
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,724688.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,924.52
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,1200.4
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,1756.14
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,3735.97
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,21452.81
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,44862.15
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,143227.19
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,27911.93
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,7775.03
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,2491.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,2326.39
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,2157.54
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,58141.32
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,13187.82
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,2728.03
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,7305.42
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,11332.42
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,2530.2
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,3101.08
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,674.39
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,1443.53
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,687.44
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,934.92
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,1735.03
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,906427.79
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,1948.03
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,1166.79
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,2722.68
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,32222.88
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,14179.96
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,46552.76
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,24325.77
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,952.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,1352.98
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,1247.56
