Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.03
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.01
DOMO FUNDO DE INVESTIMENTO IMOBILIARIO - FII,-0.06
FII ANCAR IC,
FII BRAZIL REAL ESTATE VICTORY FUND I,-18.2
FII PRESIDENTE VARGAS,-0.06
FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,-0.13
FUNDO DE INV. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,0.32
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,-0.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO GWI RENDA IMOBILIÁRIA,-0.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.06
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,-0.0
GENERAL SHOPPING ATIVO E RENDA - FII,0.01
JPP FII,-0.0
MULTIGESTÃO RENDA COMERCIAL FUNDO DE INV. IMOBILIÁRIO,0.01
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,-0.05
RB CAPITAL GENERAL SHOPPING SULACAP FII,0.02
RB CAPITAL PETROS FII,-0.04
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.04
