Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
0,,
02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
14 Bis,0.0,0.0
14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
173073 - JABAQUARA,0.0,0.0
24° Andar do Edifício Castello Branco,0.0,0.0
2º Pavimento Minasbank,1.0,1.0
3 Centros de Convenções no Hotel Royal Tulip,,
305 Sul,0.0,0.0
30º Andar do Edifício Castello Branco,1.0,0.0
34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
51 Unidades  Master no Hotel  Royal Tulip,,
64 Unidades Standard no Hotel  Royal Tulip,,
ABC - Shopping ABC,0.0,0.0
ABS,0.19,0.06
AG CAXIAS SUL,0.0,0.0
AG LEBLON,0.0,0.0
AG PASSO FUNDO,0.0,0.0
AG. AFONSO PENA,0.0,0.0
AG. ALDEOTA,0.0,0.0
AG. ANA ROSA,0.0,0.0
AG. ARACATUBA,0.0,0.0
AG. ASA NORTE 504,0.0,0.0
AG. ASA SUL 507,0.0,0.0
AG. BAIRRO BOM RETIRO,0.0,0.0
AG. BONFIM,0.0,0.0
AG. BRAS,0.0,0.0
AG. BROOKLIN PAULISTA,0.0,0.0
AG. CAMPINAS,0.0,0.0
AG. CAMPOS ELISEOS,0.0,0.0
AG. CAMPOS GOYTACAZES,0.0,0.0
AG. CARIJOS,0.0,0.0
AG. CASA VERDE,0.0,0.0
AG. CATEDRAL-SOROCABA,0.0,0.0
AG. CENTRO - SOROCABA(SP),0.0,0.0
AG. CINELANDIA,0.0,0.0
AG. CONJUNTO NACIONAL,0.0,0.0
AG. DUQUE DE CAXIAS,0.0,0.0
AG. FLORIANOPOLIS,0.0,0.0
AG. FREGUESIA DO O,0.0,0.0
AG. GENERAL VALADAO,0.0,0.0
AG. IPIRANGA-SP,0.0,0.0
AG. JACAREPAGUA,0.0,0.0
AG. JUIZ DE FORA,0.0,0.0
AG. MANAUS,0.0,0.0
AG. MARINGA,0.0,0.0
AG. MOEMA,0.0,0.0
AG. NITEROI (RJ),0.0,0.0
AG. NOSSA SENHORA LAPA,0.0,0.0
AG. PARAISO,0.0,0.0
AG. PC.RUI BARBOSA-BAURU,0.0,0.0
AG. PCA XV NOVEMBRO/BESC,0.0,0.0
AG. PENHA FRANCA,0.0,0.0
AG. PINHEIROS,0.0,0.0
AG. PONTA GROSSA,0.0,0.0
AG. PRACA DA ARVORE,0.0,0.0
AG. RIBEIRAO PRETO SP,0.0,0.0
AG. SANTANA,0.0,0.0
AG. SANTO AMARO PAULISTA,0.0,0.0
AG. SAO JOSE DOS CAMPOS,0.0,0.0
AG. SAO JOSE RIO PRETO SP,0.0,0.0
AG. TAMOIOS BH,0.0,0.0
AG. TIJUCA,0.0,0.0
AG. TOLEDO,0.0,0.0
AG. UBERLANDIA,0.0,0.0
AG. VILA CARRAO (SP),0.0,0.0
AG. ZONA SUL,0.0,0.0
AG.BELEM-CENTRO(PA),0.0,0.0
AG.BELO HORIZONTE,0.0,0.0
ALAMEDA DAS PALMEIRAS - Torre 1 - unid 125,,
ALAMEDA DAS PALMEIRAS - Torre 1 - unid 14,,
ALAMEDA DAS PALMEIRAS - Torre 1 - unid 152,,
ALAMEDA DAS PALMEIRAS - Torre 1 - unid 164,,
ALAMEDA DAS PALMEIRAS - Torre 1 - unid 36,,
ALL -CIR Complexo Intermodal de Rondonópolis,0.0,0.0
ALTO DE PINHEIROS,0.0,0.0
ANM RETROFIT,0.31,0.0
AQ³ Industrial - Nova Iguaçu,0.0,1.0
AQ³ LOG Queimados,,
AQ³ LOG Taubaté,0.0,1.0
ARTEMIS,0.0,0.0
ATENTO CAMPO GRANDE,,
AVENIDAS,0.0,0.0
Aeroporto,0.0,0.0
Aflitos,0.0,0.0
Ag Av. Pres. Wilson      ,0.0,0.0
Ag Industrial,,
Ag Pq. Maria Helena,0.0,0.0
Ag. Av. Francisco Morato,0.0,0.0
Ag. Av. Santo Amaro,0.0,0.0
Ag. Demarchi,0.0,0.0
Ag. Estilo Av. Portugal,0.0,0.0
Ag. Estilo Berrini,0.0,0.0
Ag. Estilo Butantã,0.0,0.0
Ag. Estilo Cambuí,0.0,0.0
Ag. Estilo Indianópolis,0.0,0.0
Ag. Estilo Joaquim Floriano,0.0,0.0
Ag. Estilo Nova Faria Lima,0.0,0.0
Ag. Estilo Santo Amaro,0.0,0.0
Ag. Estilo Vila Esperança,0.0,0.0
Ag. Imperatriz Leopoldina,0.0,0.0
Ag. Paes de Barros,0.0,0.0
Ag. Parque Boturussu,,
Ag. Parque da Aclimação,0.0,0.0
Ag. Pedro Pinho,0.0,0.0
Ag. Raposo,,
Allegro,,
Alphaville,0.0,0.0
Alto da XV,0.0,0.0
Ambev,0.0,0.0
Ambev Santa Luzia/BH,0.0,0.0
Amoreiras ,0.0,0.0
Ampla,0.0,0.0
Anchieta,0.0,0.0
Angelim  Mat 2123,0.0,0.0
Angelim  Mat 2124,0.0,0.0
Angelim  Mat 2194,0.0,0.0
Anhanguera,0.0,0.0
Anhanguera Educacional,1.0,0.0
Antartica,1.0,0.0
Apartamento Duplex,0.0,0.0
Araguaia  Mat 266,0.0,0.0
Araguaia II  Mat 99,0.0,0.0
Araguaia III  Mat 466,0.0,0.0
Araguaia V  Mat 374,0.0,0.0
Arapongas - PR,0.0,0.0
Araucária - PR,0.0,0.0
Araçatuba,0.0,0.0
Arena Esportiva,0.0,0.0
Aricanduva,0.0,0.0
Arroio do Sal,0.0,0.0
Asa Sul 308 Sul,0.0,0.0
Aspro,0.0,0.0
Atento Campo Grande,0.0,0.0
Atento Salvador/BA,0.0,0.0
Atento Santos/SP,0.0,0.0
Atibaia,0.0,0.0
Atmosfera,0.0,0.0
Atrium Shopping Santo André - 100%,0.25,0.12
Av. Chile,0.0,0.0
Av. Mem de sá,0.0,0.0
BAY VIEW,0.31,0.0
BB Antônio das Chagas,0.0,0.0
BEI - Shopping Iguatemi Belém,0.0,0.0
BELO HORIZONTE,0.0,0.0
BERRINI,0.0,0.0
BETIM2,,
BH - TIRADENTES,0.0,0.0
BHC - Loja de Rua,0.0,0.0
BHD - Shopp.Del Rey,0.0,0.0
BHM - Minas Shopping,0.0,0.0
BPB - Pátio Brasil Shopping,0.0,0.0
BPS - BOTAFOGO PRAIA SHOPPING,0.04,0.42
BPWR - BL5 APTO502,,
BPWR - BL6 APTO102,,
BPWR - BL6 APTO301,,
BPWR - BL7 APTO102,,
BTS L´Oréal,,
Baldum I  Mat 446,0.0,0.0
Baldum II  Mat 447,0.0,0.0
Baldum III  Mat 445,0.0,0.0
Baldum IV  Mat 496,0.0,0.0
Bandeira,0.0,0.0
Barra Funda,0.0,0.0
Barry,0.0,0.0
Barão de Mesquita,0.0,0.0
Basiliana  Mat 111,0.0,0.0
Bebedouro  Mat 131,0.0,0.0
Belem Novo,0.0,0.0
Belo Horizonte (Minas Shopping),0.0,0.0
Belo Horizonte I  Mat 1274,0.0,0.0
Belo Horizonte II  Mat 1031,0.0,0.0
Belvedere,0.0,0.0
Benedito Coutinho,0.0,0.0
Berfort Roxo (C&C),0.0,0.0
Betim,0.0,0.0
Bica  Mat 102,0.0,0.0
Blue Tree Faria Lima,0.0,0.0
Bompreço Supermercados do Nordeste Ltda,0.0,0.0
Bonfim  Mat 4712,0.0,0.0
Botafogo Trade Center,0.03,0.0
Boulevard Corporate Tower,,
Brascabos Rio Claro,0.0,0.0
Brasília Norte,0.0,0.0
Brasília Sul,0.0,0.0
Brazilian Financial Center,0.0,0.04
Brejeiro  Mat 365,0.0,0.0
Brookfield Towers,0.85,0.0
Buenos Aires Corporate,0.01,0.0
Buraco  Mat 24888,0.0,0.0
C&A,0.0,0.0
CAC - Loja de Rua Centro,0.0,0.0
CANDELÁRIA CORPORATE,0.0,0.0
CARJ,0.0,0.0
CBP Ribeirão Preto,0.6,0.0
CBS - Shopp.Center Curitiba,0.0,0.0
CD Bandeirantes,0.0,0.0
CD Mogi das Cruzes,0.0,0.0
CD PPG Sumaré,0.0,0.0
