Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,2179590.46
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,500.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,7251.38
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,488101.78
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,556813.79
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,1150307.3
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,523649.18
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,22101.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,368949.25
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36773.66
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,17205.66
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,7742.51
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,15924.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,17224.72
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,303922.58
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,20031.46
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,175287.56
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,12.63
FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,10.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,201.76
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,622464.47
FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,2036.49
FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO ALMIRANTE B,4274.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,24799.66
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,1305021.9
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,2544.06
FUNDO DE INVESTIMENTO IMOBILIARIO - FII SHOPPING PARQUE D. P,90.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,613.85
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,6646.85
FII ANCAR IC,407.3
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL NOSSA SENHO,10.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII COMERCIAL PROGRESSIV,90.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,15331.83
CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,225195.01
FUNDO DE INVESTIMENTO IMOBILIARIO - FII PREMIER REALTY,100.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,250227.64
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,13941.87
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,87.01
FUNDO DE INVESTIMENTO IMOB BTG PACTUAL CORPORATE OFFICE FUND,551.22
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,146411.14
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,10.2
FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST,296.76
FUNDO DE INVESTIMENTO IMOBILIARIO FII SHOPPING WEST PLAZA,9.02
FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,21806.7
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,6168.28
FII BB VOTORANTIM JHSF CIDADE JARDIM CONTINENTAL TOWER,30031.12
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES II,6274.17
FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIARIO - FII,100.0
