CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",973.0,26.0,Construção própia,,,,,,,,,,0.07,,,,,,,,,2017-03-31,1.0,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,204.0,6.0,Construção propia,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",973.0,26.0,Construção própia,,,,,,,,,,0.07,,,,,,,,,2017-06-30,1.0,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,114.03,3.0,Construção própia,0.01,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",973.0,26.0,Construção própia,,,,,,,,,,0.07,,,,,,,,,2017-09-29,2.0,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,274.99,8.0,Construção própia,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",973.0,26.0,Construção própia,,,,,,,,,,0.07,,,,,,,,,2017-12-29,2.0,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2017-12-29,810.15,15.0,Construção própia,0.07,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",3926.0,49.0,Construção própia,,,,,,,,,,0.22,,,,,,,,,2017-03-31,1.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",,355.0,5.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",3926.0,49.0,Construção própia,,,,,,,,,,0.22,,,,,,,,,2017-12-29,2.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2017-12-29,347.71,5.0,Aquisição de unidades prontas,0.03,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Estoque Diversos,"Av. Carlos Moreira Lima, nº 460, Vitória-ES, Rua Ludwick Macal, nº 1190, Jardim da Penha, Vitória-ES e Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES",363.0,5.0,-,,,,,,,,,,0.04,,,,,,,,,2017-12-29,2.0,"Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES",2017-12-29,150.0,1.0,Aquisição de unidades prontas,0.01,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",37.0,33.0,Construção própia,,,,,,,,,,0.09,,,,,,,,,2017-03-31,1.0,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,215.0,6.0,Construção propia,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",37.0,33.0,Construção própia,,,,,,,,,,0.09,,,,,,,,,2017-06-30,1.0,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,262.94,7.0,Construção própia,0.03,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",37.0,33.0,Construção própia,,,,,,,,,,0.09,,,,,,,,,2017-09-29,2.0,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,253.62,7.0,Construção própia,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",37.0,33.0,Construção própia,,,,,,,,,,0.09,,,,,,,,,2017-12-29,2.0,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",2017-12-29,550.05,15.0,Construção própia,0.07,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Estoque Diversos - Rio de Janeiro,"Rua São Clemente, nº 159, Botafogo/ Av. Canal de Marapendi, nº 1.315, Jacarapagua, Rio de Janeiro - RJ",612.0,2.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2349.0,21.0,Aquisição de unidades prontas,,,,,,,,,,0.12,,,,,,,,,2017-03-31,1.0,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",,207.0,2.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2349.0,21.0,Aquisição de unidades prontas,,,,,,,,,,0.12,,,,,,,,,2017-09-29,2.0,"Rua Ludwik Macal, 1166 - Jardim da Penha, Vitória - ES",,83.7,1.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2349.0,21.0,Aquisição de unidades prontas,,,,,,,,,,0.12,,,,,,,,,2017-12-29,2.0,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2017-12-29,182.68,2.0,Construção própia,0.02,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1059.0,21.0,Construção própia,,,,,,,,,,0.04,,,,,,,,,2017-03-31,1.0,"Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,503.0,17.0,Construção propia,0.01,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1059.0,21.0,Construção própia,,,,,,,,,,0.04,,,,,,,,,2017-06-30,1.0,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,324.43,11.0,Construção própia,0.02,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1059.0,21.0,Construção própia,,,,,,,,,,0.04,,,,,,,,,2017-09-29,2.0,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,37.01,1.0,Construção própia,0.0,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1059.0,21.0,Construção própia,,,,,,,,,,0.04,,,,,,,,,2017-12-29,2.0,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,379.81,7.0,Construção própia,0.02,0.0
01.235.622/0001-61,2017-03-31,1,imóveis para venda acabados,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",3404.0,19.0,Construção própia,,,,,,,,,,0.22,,,,,,,,,2017-03-31,1.0,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",,482.0,3.0,Aquisição de unidades prontas,0.01,0.0
